t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.532,2.0,1,16
1,0.008,0.0,0.992,24.532,2.0,1,15
2,0.008,0.0,0.992,24.532,2.0,1,14
3,0.012,0.0,0.988,24.532,2.0,1,13
4,0.016,0.0,0.984,24.532,2.0,1,12
5,0.028,0.0,0.972,24.532,1.0,1,11
6,0.042,0.0,0.958,24.532,1.0,1,10
7,0.06,0.0,0.94,24.532,1.0,1,9
8,0.08,0.0,0.92,24.532,1.0,1,8
9,0.114,0.0,0.886,24.532,1.0,1,7
10,0.162,0.0,0.838,24.532,1.0,1,6
11,0.198,0.002,0.8,24.532,1.0,1,5
12,0.254,0.002,0.744,24.532,1.0,1,4
13,0.326,0.006,0.668,24.532,1.0,1,3
14,0.408,0.01,0.582,24.532,1.0,1,2
15,0.504,0.012,0.484,24.532,1.0,1,1
16,0.614,0.014,0.372,24.532,1.0,1,0
