t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.676,2.0,1,16
1,0.006,0.0,0.994,24.676,2.0,1,15
2,0.006,0.0,0.994,24.676,2.0,1,14
3,0.014,0.0,0.986,24.676,2.0,1,13
4,0.02,0.0,0.98,24.676,1.0,1,12
5,0.028,0.0,0.972,24.676,1.0,1,11
6,0.042,0.0,0.958,24.676,1.0,1,10
7,0.058,0.0,0.942,24.676,1.0,1,9
8,0.074,0.0,0.926,24.676,1.0,1,8
9,0.106,0.0,0.894,24.676,1.0,1,7
10,0.164,0.0,0.836,24.676,1.0,1,6
11,0.24,0.002,0.758,24.676,1.0,1,5
12,0.302,0.002,0.696,24.676,1.0,1,4
13,0.372,0.008,0.62,24.676,1.0,1,3
14,0.474,0.01,0.516,24.676,1.0,1,2
15,0.574,0.014,0.412,24.676,1.0,1,1
16,0.66,0.024,0.316,24.676,1.0,1,0
