t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6352942,100.0,0.0,10000.0,1,42
1,3.6263735,97.5,0.0,9750.0,1,41
2,3.612903,95.0,0.0,9500.0,1,40
3,3.5957446,92.5,0.0,9250.0,1,39
4,3.5955057,90.0,0.0,9000.0,1,38
5,3.5955057,87.5,0.0,8750.0,1,37
6,3.5869565,85.0,0.0,8500.0,1,36
7,3.5744681,82.5,0.0,8250.0,1,35
8,3.5730338,80.0,0.0,8000.0,1,34
9,3.6404495,77.5,0.0,7750.0,1,33
10,3.6136363,75.0,0.0,7500.0,1,32
11,3.6091955,72.5,0.0,7250.0,1,31
12,3.609756,70.0,0.0,7000.0,1,30
13,3.6385543,67.5,0.0,6750.0,1,29
14,3.627907,65.0,0.0,6500.0,1,28
15,3.6,62.53,0.03,6253.0,1,27
16,3.6236558,60.15,0.045,6015.0,1,26
17,3.6022727,57.88,0.08,5788.0,1,25
18,3.597701,55.56,0.06,5556.0,1,24
19,3.5833333,53.245,0.075,5324.5,1,23
20,3.6024096,50.86,0.04,5086.0,1,22
21,3.6046512,48.53,0.115,4853.0,1,21
22,3.6091955,46.46,0.175,4646.0,1,20
23,3.6385543,44.505,0.175,4450.5,1,19
24,3.639535,42.625,0.205,4262.5,1,18
25,3.6206896,40.68,0.215,4068.0,1,17
26,3.6321838,38.87,0.235,3887.0,1,16
27,3.6235294,37.005,0.255,3700.5,1,15
28,3.6516855,35.265,0.28,3526.5,1,14
29,3.6506023,33.675,0.31,3367.5,1,13
30,3.627907,32.055,0.3,3205.5,1,12
31,3.6321838,30.24,0.28,3024.0,1,11
32,3.6086957,28.565,0.395,2856.5,1,10
33,3.5681818,27.24,0.45,2724.0,1,9
34,3.586207,26.045,0.51,2604.5,1,8
35,3.625,24.92,0.5,2492.0,1,7
36,3.6206896,23.825,0.505,2382.5,1,6
37,3.6,22.955,0.57,2295.5,1,5
38,3.6292136,22.005,0.55,2200.5,1,4
39,3.607143,21.025,0.53,2102.5,1,3
40,3.621951,20.19,0.585,2019.0,1,2
41,3.5764706,19.38,0.59,1938.0,1,1
42,3.5903614,18.565,0.61,1856.5,1,0
