t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.048,2.0,1,15
1,0.008,0.0,0.992,25.048,1.0,1,14
2,0.012,0.0,0.988,25.048,1.0,1,13
3,0.014,0.002,0.984,25.048,1.0,1,12
4,0.02,0.002,0.978,25.048,1.0,1,11
5,0.028,0.002,0.97,25.048,1.0,1,10
6,0.046,0.002,0.952,25.048,1.0,1,9
7,0.068,0.004,0.928,25.048,1.0,1,8
8,0.102,0.004,0.894,25.048,1.0,1,7
9,0.146,0.004,0.85,25.048,1.0,1,6
10,0.194,0.004,0.802,25.048,1.0,1,5
11,0.26,0.004,0.736,25.048,1.0,1,4
12,0.316,0.008,0.676,25.048,1.0,1,3
13,0.422,0.012,0.566,25.048,1.0,1,2
14,0.524,0.012,0.464,25.048,1.0,1,1
15,0.624,0.02,0.356,25.048,1.0,1,0
