t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.04,2.0,1,17
1,0.008,0.0,0.992,25.04,2.0,1,16
2,0.012,0.0,0.988,25.04,2.0,1,15
3,0.016,0.0,0.984,25.04,2.0,1,14
4,0.018,0.0,0.982,25.04,2.0,1,13
5,0.03,0.0,0.97,25.04,1.0,1,12
6,0.038,0.0,0.962,25.04,1.0,1,11
7,0.05,0.002,0.948,25.04,1.0,1,10
8,0.058,0.002,0.94,25.04,1.0,1,9
9,0.074,0.002,0.924,25.04,1.0,1,8
10,0.11,0.002,0.888,25.04,1.0,1,7
11,0.14,0.002,0.858,25.04,1.0,1,6
12,0.194,0.002,0.804,25.04,1.0,1,5
13,0.252,0.002,0.746,25.04,1.0,1,4
14,0.334,0.008,0.658,25.04,1.0,1,3
15,0.426,0.012,0.562,25.04,1.0,1,2
16,0.532,0.018,0.45,25.04,1.0,1,1
17,0.646,0.024,0.33,25.04,1.0,1,0
