t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5747128,100.0,0.0,10000.0,1,43
1,3.5842698,97.5,0.0,9750.0,1,42
2,3.6483517,95.0,0.0,9500.0,1,41
3,3.607143,92.5,0.0,9250.0,1,40
4,3.6144578,90.0,0.0,9000.0,1,39
5,3.6190476,87.5,0.0,8750.0,1,38
6,3.588889,85.0,0.0,8500.0,1,37
7,3.6470587,82.5,0.0,8250.0,1,36
8,3.5955057,80.0,0.0,8000.0,1,35
9,3.6022727,77.5,0.0,7750.0,1,34
10,3.6111112,75.0,0.0,7500.0,1,33
11,3.5930233,72.51,0.015,7251.0,1,32
12,3.5952382,70.115,0.03,7011.5,1,31
13,3.625,67.78,0.065,6778.0,1,30
14,3.6190476,65.47,0.055,6547.0,1,29
15,3.5813954,63.17,0.1,6317.0,1,28
16,3.6341465,61.085,0.145,6108.5,1,27
17,3.6046512,58.94,0.12,5894.0,1,26
18,3.6341465,56.825,0.14,5682.5,1,25
19,3.6046512,54.81,0.18,5481.0,1,24
20,3.6222222,52.765,0.155,5276.5,1,23
21,3.6235294,50.795,0.175,5079.5,1,22
22,3.6321838,48.71,0.145,4871.0,1,21
23,3.6111112,46.625,0.145,4662.5,1,20
24,3.6235294,44.695,0.2,4469.5,1,19
25,3.609756,42.74,0.23,4274.0,1,18
26,3.6049383,41.085,0.285,4108.5,1,17
27,3.6067417,39.535,0.345,3953.5,1,16
28,3.6206896,38.14,0.395,3814.0,1,15
29,3.6136363,36.835,0.41,3683.5,1,14
30,3.6321838,35.58,0.415,3558.0,1,13
31,3.607143,34.26,0.385,3426.0,1,12
32,3.6046512,32.99,0.405,3299.0,1,11
33,3.590909,31.705,0.41,3170.5,1,10
34,3.5813954,30.35,0.405,3035.0,1,9
35,3.5632184,28.96,0.38,2896.0,1,8
36,3.597701,27.56,0.365,2756.0,1,7
37,3.5930233,26.23,0.425,2623.0,1,6
38,3.5903614,24.91,0.4,2491.0,1,5
39,3.6,23.635,0.465,2363.5,1,4
40,3.6190476,22.42,0.45,2242.0,1,3
41,3.597701,21.28,0.53,2128.0,1,2
42,3.6136363,20.425,0.595,2042.5,1,1
43,3.6470587,19.77,0.635,1977.0,1,0
