t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5764706,100.0,0.0,10000.0,1,42
1,3.6136363,97.5,0.0,9750.0,1,41
2,3.6304348,95.0,0.0,9500.0,1,40
3,3.6373627,92.5,0.0,9250.0,1,39
4,3.6206896,90.0,0.0,9000.0,1,38
5,3.6206896,87.5,0.0,8750.0,1,37
6,3.639535,85.0,0.0,8500.0,1,36
7,3.6341465,82.5,0.0,8250.0,1,35
8,3.6419754,80.0,0.0,8000.0,1,34
9,3.6309524,77.5,0.0,7750.0,1,33
10,3.6666667,75.0,0.0,7500.0,1,32
11,3.6292136,72.5,0.0,7250.0,1,31
12,3.625,70.0,0.0,7000.0,1,30
13,3.6292136,67.58,0.035,6758.0,1,29
14,3.642857,65.275,0.07,6527.5,1,28
15,3.626506,63.07,0.085,6307.0,1,27
16,3.6436782,60.88,0.11,6088.0,1,26
17,3.6593406,58.64,0.08,5864.0,1,25
18,3.6404495,56.33,0.105,5633.0,1,24
19,3.6162791,54.16,0.12,5416.0,1,23
20,3.6024096,52.115,0.155,5211.5,1,22
21,3.6117647,50.18,0.2,5018.0,1,21
22,3.607143,48.325,0.235,4832.5,1,20
23,3.6179776,46.56,0.25,4656.0,1,19
24,3.5955057,44.825,0.25,4482.5,1,18
25,3.5747128,43.155,0.275,4315.5,1,17
26,3.5681818,41.475,0.315,4147.5,1,16
27,3.588889,39.875,0.32,3987.5,1,15
28,3.6263735,38.255,0.31,3825.5,1,14
29,3.6744187,36.685,0.36,3668.5,1,13
30,3.6144578,35.33,0.415,3533.0,1,12
31,3.5955057,34.07,0.415,3407.0,1,11
32,3.6162791,32.795,0.43,3279.5,1,10
33,3.6136363,31.445,0.425,3144.5,1,9
34,3.6046512,30.135,0.42,3013.5,1,8
35,3.6436782,28.855,0.43,2885.5,1,7
36,3.6470587,27.595,0.435,2759.5,1,6
37,3.6585367,26.455,0.495,2645.5,1,5
38,3.6136363,25.155,0.455,2515.5,1,4
39,3.6046512,24.04,0.515,2404.0,1,3
40,3.6551723,23.135,0.585,2313.5,1,2
41,3.6321838,22.305,0.585,2230.5,1,1
42,3.6296296,21.735,0.68,2173.5,1,0
