t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.597701,100.0,0.0,10000.0,1,42
1,3.5903614,97.5,0.0,9750.0,1,41
2,3.6022727,95.0,0.0,9500.0,1,40
3,3.625,92.5,0.0,9250.0,1,39
4,3.612903,90.0,0.0,9000.0,1,38
5,3.5842698,87.5,0.0,8750.0,1,37
6,3.5813954,85.0,0.0,8500.0,1,36
7,3.6024096,82.5,0.0,8250.0,1,35
8,3.6235294,80.0,0.0,8000.0,1,34
9,3.6136363,77.5,0.0,7750.0,1,33
10,3.625,75.0,0.0,7500.0,1,32
11,3.6153846,72.5,0.0,7250.0,1,31
12,3.6067417,70.0,0.0,7000.0,1,30
13,3.6235294,67.5,0.0,6750.0,1,29
14,3.6111112,65.0,0.0,6500.0,1,28
15,3.627907,62.5,0.0,6250.0,1,27
16,3.6091955,60.015,0.02,6001.5,1,26
17,3.6321838,57.58,0.035,5758.0,1,25
18,3.6477273,55.24,0.065,5524.0,1,24
19,3.6344087,52.86,0.045,5286.0,1,23
20,3.6111112,50.455,0.035,5045.5,1,22
21,3.6263735,48.16,0.095,4816.0,1,21
22,3.6363637,46.105,0.165,4610.5,1,20
23,3.6477273,44.16,0.18,4416.0,1,19
24,3.5882354,42.105,0.145,4210.5,1,18
25,3.597701,40.065,0.19,4006.5,1,17
26,3.6024096,38.215,0.23,3821.5,1,16
27,3.6235294,36.37,0.27,3637.0,1,15
28,3.6,34.71,0.295,3471.0,1,14
29,3.6117647,33.145,0.385,3314.5,1,13
30,3.6022727,31.505,0.32,3150.5,1,12
31,3.6179776,30.01,0.36,3001.0,1,11
32,3.6046512,28.59,0.37,2859.0,1,10
33,3.6022727,27.445,0.49,2744.5,1,9
34,3.6463416,26.56,0.55,2656.0,1,8
35,3.6352942,25.525,0.515,2552.5,1,7
36,3.6162791,24.57,0.53,2457.0,1,6
37,3.627907,23.455,0.51,2345.5,1,5
38,3.597701,22.41,0.52,2241.0,1,4
39,3.5764706,21.385,0.55,2138.5,1,3
40,3.6091955,20.33,0.52,2033.0,1,2
41,3.5813954,19.425,0.595,1942.5,1,1
42,3.627907,18.705,0.645,1870.5,1,0
