t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.88,2.0,1,12
1,0.01,0.0,0.99,24.88,1.0,1,11
2,0.026,0.0,0.974,24.88,1.0,1,10
3,0.04,0.0,0.96,24.88,1.0,1,9
4,0.066,0.0,0.934,24.88,1.0,1,8
5,0.094,0.0,0.906,24.88,1.0,1,7
6,0.124,0.002,0.874,24.88,1.0,1,6
7,0.168,0.004,0.828,24.88,1.0,1,5
8,0.214,0.004,0.782,24.88,1.0,1,4
9,0.29,0.006,0.704,24.88,1.0,1,3
10,0.392,0.006,0.602,24.88,1.0,1,2
11,0.502,0.008,0.49,24.88,1.0,1,1
12,0.606,0.012,0.382,24.88,1.0,1,0
