t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.06,2.0,1,16
1,0.004,0.0,0.996,25.06,2.0,1,15
2,0.008,0.0,0.992,25.06,1.0,1,14
3,0.014,0.0,0.986,25.06,1.0,1,13
4,0.02,0.002,0.978,25.06,3.0,1,12
5,0.028,0.002,0.97,25.06,3.0,1,11
6,0.044,0.002,0.954,25.06,2.0,1,10
7,0.06,0.004,0.936,25.06,2.0,1,9
8,0.078,0.004,0.918,25.06,1.0,1,8
9,0.11,0.004,0.886,25.06,1.0,1,7
10,0.168,0.006,0.826,25.06,1.0,1,6
11,0.214,0.01,0.776,25.06,1.0,1,5
12,0.28,0.012,0.708,25.06,1.0,1,4
13,0.372,0.014,0.614,25.06,1.0,1,3
14,0.468,0.02,0.512,25.06,1.0,1,2
15,0.552,0.024,0.424,25.06,1.0,1,1
16,0.642,0.028,0.33,25.06,1.0,1,0
