t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.168,2.0,1,16
1,0.004,0.0,0.996,25.168,2.0,1,15
2,0.008,0.0,0.992,25.168,1.0,1,14
3,0.014,0.0,0.986,25.168,1.0,1,13
4,0.022,0.0,0.978,25.168,1.0,1,12
5,0.022,0.0,0.978,25.168,1.0,1,11
6,0.034,0.0,0.966,25.168,1.0,1,10
7,0.046,0.0,0.954,25.168,1.0,1,9
8,0.066,0.0,0.934,25.168,1.0,1,8
9,0.106,0.0,0.894,25.168,1.0,1,7
10,0.144,0.002,0.854,25.168,1.0,1,6
11,0.182,0.002,0.816,25.168,1.0,1,5
12,0.254,0.004,0.742,25.168,1.0,1,4
13,0.324,0.008,0.668,25.168,1.0,1,3
14,0.414,0.012,0.574,25.168,1.0,1,2
15,0.514,0.016,0.47,25.168,1.0,1,1
16,0.604,0.016,0.38,25.168,1.0,1,0
