t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5731707,100.0,0.0,10000.0,1,37
1,3.6,97.5,0.0,9750.0,1,36
2,3.6375,95.0,0.0,9500.0,1,35
3,3.607143,92.5,0.0,9250.0,1,34
4,3.6385543,90.0,0.0,9000.0,1,33
5,3.5955057,87.5,0.0,8750.0,1,32
6,3.6179776,85.0,0.0,8500.0,1,31
7,3.597701,82.5,0.0,8250.0,1,30
8,3.626506,80.0,0.0,8000.0,1,29
9,3.5952382,77.5,0.0,7750.0,1,28
10,3.5833333,75.0,0.0,7500.0,1,27
11,3.6,72.55,0.03,7255.0,1,26
12,3.5952382,70.155,0.03,7015.5,1,25
13,3.6235294,67.76,0.035,6776.0,1,24
14,3.620253,65.415,0.06,6541.5,1,23
15,3.6133332,63.21,0.1,6321.0,1,22
16,3.6049383,61.035,0.1,6103.5,1,21
17,3.6046512,58.84,0.095,5884.0,1,20
18,3.6,56.61,0.1,5661.0,1,19
19,3.607143,54.42,0.13,5442.0,1,18
20,3.6091955,52.275,0.125,5227.5,1,17
21,3.6136363,50.06,0.13,5006.0,1,16
22,3.5697675,47.915,0.14,4791.5,1,15
23,3.6024096,45.9,0.205,4590.0,1,14
24,3.586207,44.02,0.22,4402.0,1,13
25,3.6,42.13,0.23,4213.0,1,12
26,3.6043956,40.48,0.3,4048.0,1,11
27,3.5930233,38.825,0.275,3882.5,1,10
28,3.590909,37.195,0.295,3719.5,1,9
29,3.597826,35.605,0.32,3560.5,1,8
30,3.6,34.06,0.365,3406.0,1,7
31,3.621951,32.74,0.435,3274.0,1,6
32,3.6046512,31.295,0.365,3129.5,1,5
33,3.5930233,29.81,0.37,2981.0,1,4
34,3.590909,28.57,0.48,2857.0,1,3
35,3.6352942,27.54,0.54,2754.0,1,2
36,3.6,26.745,0.585,2674.5,1,1
37,3.6067417,25.955,0.6,2595.5,1,0
