t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6263735,100.0,0.0,10000.0,1,45
1,3.6067417,97.5,0.0,9750.0,1,44
2,3.612903,95.0,0.0,9500.0,1,43
3,3.6111112,92.5,0.0,9250.0,1,42
4,3.6162791,90.0,0.0,9000.0,1,41
5,3.597701,87.5,0.0,8750.0,1,40
6,3.6111112,85.0,0.0,8500.0,1,39
7,3.627907,82.5,0.0,8250.0,1,38
8,3.6117647,80.0,0.0,8000.0,1,37
9,3.6024096,77.5,0.0,7750.0,1,36
10,3.6309524,75.0,0.0,7500.0,1,35
11,3.6404495,72.5,0.0,7250.0,1,34
12,3.6321838,70.0,0.0,7000.0,1,33
13,3.639535,67.52,0.04,6752.0,1,32
14,3.6404495,65.125,0.03,6512.5,1,31
15,3.6704545,62.75,0.035,6275.0,1,30
16,3.682927,60.39,0.05,6039.0,1,29
17,3.6923077,58.06,0.065,5806.0,1,28
18,3.6746988,55.845,0.105,5584.5,1,27
19,3.6506023,53.78,0.145,5378.0,1,26
20,3.6705883,51.665,0.125,5166.5,1,25
21,3.6551723,49.495,0.135,4949.5,1,24
22,3.6206896,47.455,0.19,4745.5,1,23
23,3.6436782,45.3,0.14,4530.0,1,22
24,3.6666667,43.315,0.185,4331.5,1,21
25,3.6551723,41.405,0.225,4140.5,1,20
26,3.6555555,39.495,0.235,3949.5,1,19
27,3.6436782,37.58,0.21,3758.0,1,18
28,3.6551723,35.74,0.25,3574.0,1,17
29,3.6444445,33.82,0.295,3382.0,1,16
30,3.625,32.2,0.325,3220.0,1,15
31,3.6436782,30.66,0.36,3066.0,1,14
32,3.627907,29.24,0.39,2924.0,1,13
33,3.6444445,27.85,0.425,2785.0,1,12
34,3.6235294,26.6,0.445,2660.0,1,11
35,3.6144578,25.565,0.515,2556.5,1,10
36,3.6538463,24.555,0.55,2455.5,1,9
37,3.621951,23.53,0.535,2353.0,1,8
38,3.6117647,22.47,0.535,2247.0,1,7
39,3.6117647,21.415,0.535,2141.5,1,6
40,3.586207,20.36,0.545,2036.0,1,5
41,3.5930233,19.515,0.58,1951.5,1,4
42,3.5795455,18.545,0.555,1854.5,1,3
43,3.586207,17.655,0.595,1765.5,1,2
44,3.6292136,16.785,0.595,1678.5,1,1
45,3.626506,16.07,0.655,1607.0,1,0
