t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.6,2.0,1,15
1,0.006,0.0,0.994,24.6,2.0,1,14
2,0.01,0.0,0.99,24.6,2.0,1,13
3,0.016,0.0,0.984,24.6,1.0,1,12
4,0.022,0.0,0.978,24.6,1.0,1,11
5,0.044,0.0,0.956,24.6,1.0,1,10
6,0.066,0.0,0.934,24.6,1.0,1,9
7,0.086,0.002,0.912,24.6,1.0,1,8
8,0.118,0.004,0.878,24.6,1.0,1,7
9,0.152,0.006,0.842,24.6,1.0,1,6
10,0.216,0.006,0.778,24.6,1.0,1,5
11,0.298,0.01,0.692,24.6,1.0,1,4
12,0.378,0.016,0.606,24.6,1.0,1,3
13,0.474,0.022,0.504,24.6,1.0,1,2
14,0.572,0.026,0.402,24.6,1.0,1,1
15,0.654,0.034,0.312,24.6,1.0,1,0
