t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.972,2.0,1,16
1,0.006,0.0,0.994,24.972,2.0,1,15
2,0.012,0.0,0.988,24.972,2.0,1,14
3,0.018,0.0,0.982,24.972,1.0,1,13
4,0.022,0.002,0.976,24.972,2.0,1,12
5,0.034,0.002,0.964,24.972,1.0,1,11
6,0.046,0.002,0.952,24.972,1.0,1,10
7,0.06,0.004,0.936,24.972,2.0,1,9
8,0.086,0.004,0.91,24.972,1.0,1,8
9,0.124,0.006,0.87,24.972,1.0,1,7
10,0.166,0.008,0.826,24.972,1.0,1,6
11,0.244,0.01,0.746,24.972,1.0,1,5
12,0.32,0.018,0.662,24.972,1.0,1,4
13,0.396,0.018,0.586,24.972,1.0,1,3
14,0.502,0.018,0.48,24.972,1.0,1,2
15,0.578,0.026,0.396,24.972,1.0,1,1
16,0.704,0.03,0.266,24.972,1.0,1,0
