t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.592,2.0,1,17
1,0.004,0.0,0.996,25.592,2.0,1,16
2,0.004,0.0,0.996,25.592,2.0,1,15
3,0.008,0.0,0.992,25.592,2.0,1,14
4,0.014,0.0,0.986,25.592,2.0,1,13
5,0.022,0.0,0.978,25.592,1.0,1,12
6,0.026,0.0,0.974,25.592,1.0,1,11
7,0.04,0.0,0.96,25.592,1.0,1,10
8,0.056,0.0,0.944,25.592,1.0,1,9
9,0.082,0.0,0.918,25.592,1.0,1,8
10,0.122,0.0,0.878,25.592,1.0,1,7
11,0.17,0.0,0.83,25.592,1.0,1,6
12,0.238,0.002,0.76,25.592,1.0,1,5
13,0.3,0.004,0.696,25.592,1.0,1,4
14,0.386,0.008,0.606,25.592,1.0,1,3
15,0.47,0.018,0.512,25.592,1.0,1,2
16,0.566,0.026,0.408,25.592,1.0,1,1
17,0.642,0.034,0.324,25.592,1.0,1,0
