t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.216,2.0,1,15
1,0.006,0.0,0.994,25.216,2.0,1,14
2,0.008,0.0,0.992,25.216,2.0,1,13
3,0.012,0.0,0.988,25.216,2.0,1,12
4,0.018,0.0,0.982,25.216,2.0,1,11
5,0.024,0.002,0.974,25.216,2.0,1,10
6,0.044,0.002,0.954,25.216,2.0,1,9
7,0.066,0.002,0.932,25.216,1.0,1,8
8,0.088,0.004,0.908,25.216,1.0,1,7
9,0.122,0.01,0.868,25.216,1.0,1,6
10,0.166,0.014,0.82,25.216,1.0,1,5
11,0.226,0.014,0.76,25.216,1.0,1,4
12,0.314,0.014,0.672,25.216,1.0,1,3
13,0.398,0.016,0.586,25.216,1.0,1,2
14,0.522,0.02,0.458,25.216,1.0,1,1
15,0.614,0.028,0.358,25.216,1.0,1,0
