t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5833333,100.0,0.0,10000.0,1,42
1,3.6,97.5,0.0,9750.0,1,41
2,3.5833333,95.0,0.0,9500.0,1,40
3,3.5955057,92.5,0.0,9250.0,1,39
4,3.6091955,90.0,0.0,9000.0,1,38
5,3.6363637,87.5,0.0,8750.0,1,37
6,3.6162791,85.0,0.0,8500.0,1,36
7,3.6117647,82.5,0.0,8250.0,1,35
8,3.6222222,80.0,0.0,8000.0,1,34
9,3.588889,77.5,0.0,7750.0,1,33
10,3.6263735,75.0,0.0,7500.0,1,32
11,3.6111112,72.5,0.0,7250.0,1,31
12,3.6153846,70.0,0.0,7000.0,1,30
13,3.6436782,67.5,0.0,6750.0,1,29
14,3.6179776,65.03,0.03,6503.0,1,28
15,3.6136363,62.62,0.03,6262.0,1,27
16,3.6190476,60.24,0.07,6024.0,1,26
17,3.6352942,57.96,0.08,5796.0,1,25
18,3.6629214,55.705,0.08,5570.5,1,24
19,3.6511629,53.44,0.105,5344.0,1,23
20,3.6136363,51.18,0.145,5118.0,1,22
21,3.6321838,49.2,0.175,4920.0,1,21
22,3.6555555,47.31,0.215,4731.0,1,20
23,3.6136363,45.405,0.215,4540.5,1,19
24,3.5833333,43.65,0.27,4365.0,1,18
25,3.6067417,41.94,0.295,4194.0,1,17
26,3.627907,40.245,0.305,4024.5,1,16
27,3.6547618,38.76,0.345,3876.0,1,15
28,3.6477273,37.16,0.325,3716.0,1,14
29,3.6627908,35.7,0.37,3570.0,1,13
30,3.6627908,34.225,0.35,3422.5,1,12
31,3.6629214,32.805,0.405,3280.5,1,11
32,3.6477273,31.495,0.41,3149.5,1,10
33,3.6333334,30.21,0.44,3021.0,1,9
34,3.6704545,28.985,0.425,2898.5,1,8
35,3.6352942,27.655,0.41,2765.5,1,7
36,3.6666667,26.52,0.505,2652.0,1,6
37,3.6741574,25.37,0.51,2537.0,1,5
38,3.686747,24.335,0.515,2433.5,1,4
39,3.6516855,23.26,0.51,2326.0,1,3
40,3.659091,22.24,0.555,2224.0,1,2
41,3.6705883,21.31,0.58,2131.0,1,1
42,3.6705883,20.56,0.615,2056.0,1,0
