t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.116,2.0,1,14
1,0.008,0.0,0.992,25.116,1.0,1,13
2,0.014,0.0,0.986,25.116,1.0,1,12
3,0.022,0.0,0.978,25.116,1.0,1,11
4,0.032,0.0,0.968,25.116,1.0,1,10
5,0.05,0.0,0.95,25.116,1.0,1,9
6,0.07,0.0,0.93,25.116,1.0,1,8
7,0.102,0.0,0.898,25.116,1.0,1,7
8,0.138,0.0,0.862,25.116,1.0,1,6
9,0.186,0.0,0.814,25.116,1.0,1,5
10,0.27,0.004,0.726,25.116,1.0,1,4
11,0.368,0.006,0.626,25.116,1.0,1,3
12,0.466,0.008,0.526,25.116,1.0,1,2
13,0.578,0.016,0.406,25.116,1.0,1,1
14,0.682,0.02,0.298,25.116,1.0,1,0
