t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6222222,100.0,0.0,10000.0,1,42
1,3.6292136,97.5,0.0,9750.0,1,41
2,3.625,95.0,0.0,9500.0,1,40
3,3.6222222,92.5,0.0,9250.0,1,39
4,3.6179776,90.0,0.0,9000.0,1,38
5,3.6321838,87.5,0.0,8750.0,1,37
6,3.6,85.0,0.0,8500.0,1,36
7,3.6153846,82.5,0.0,8250.0,1,35
8,3.6477273,80.0,0.0,8000.0,1,34
9,3.6860466,77.5,0.0,7750.0,1,33
10,3.6235294,75.0,0.0,7500.0,1,32
11,3.6046512,72.5,0.0,7250.0,1,31
12,3.6352942,70.0,0.0,7000.0,1,30
13,3.6179776,67.5,0.0,6750.0,1,29
14,3.6222222,65.025,0.015,6502.5,1,28
15,3.6105263,62.59,0.02,6259.0,1,27
16,3.6086957,60.19,0.045,6019.0,1,26
17,3.6144578,57.8,0.06,5780.0,1,25
18,3.6385543,55.485,0.075,5548.5,1,24
19,3.617284,53.185,0.065,5318.5,1,23
20,3.6144578,50.915,0.09,5091.5,1,22
21,3.6144578,48.805,0.135,4880.5,1,21
22,3.6117647,46.73,0.145,4673.0,1,20
23,3.6022727,44.605,0.14,4460.5,1,19
24,3.6046512,42.65,0.18,4265.0,1,18
25,3.6022727,40.805,0.245,4080.5,1,17
26,3.6,38.895,0.205,3889.5,1,16
27,3.5913978,37.07,0.27,3707.0,1,15
28,3.6222222,35.335,0.265,3533.5,1,14
29,3.6179776,33.765,0.33,3376.5,1,13
30,3.6179776,32.15,0.335,3215.0,1,12
31,3.6444445,30.705,0.395,3070.5,1,11
32,3.6304348,29.225,0.38,2922.5,1,10
33,3.6153846,27.82,0.43,2782.0,1,9
34,3.6162791,26.64,0.495,2664.0,1,8
35,3.6551723,25.505,0.48,2550.5,1,7
36,3.6555555,24.355,0.49,2435.5,1,6
37,3.6436782,23.19,0.48,2319.0,1,5
38,3.6292136,22.075,0.49,2207.5,1,4
39,3.625,20.91,0.465,2091.0,1,3
40,3.6666667,19.695,0.495,1969.5,1,2
41,3.6555555,18.575,0.555,1857.5,1,1
42,3.6516855,17.71,0.625,1771.0,1,0
