t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5681818,100.0,0.0,10000.0,1,44
1,3.5795455,97.5,0.0,9750.0,1,43
2,3.6111112,95.0,0.0,9500.0,1,42
3,3.5955057,92.5,0.0,9250.0,1,41
4,3.580247,90.0,0.0,9000.0,1,40
5,3.65,87.5,0.0,8750.0,1,39
6,3.6666667,85.0,0.0,8500.0,1,38
7,3.642857,82.5,0.0,8250.0,1,37
8,3.6309524,80.0,0.0,8000.0,1,36
9,3.6206896,77.5,0.0,7750.0,1,35
10,3.639535,75.065,0.025,7506.5,1,34
11,3.6117647,72.67,0.03,7267.0,1,33
12,3.627907,70.275,0.03,7027.5,1,32
13,3.6419754,67.92,0.04,6792.0,1,31
14,3.6111112,65.59,0.065,6559.0,1,30
15,3.5934067,63.37,0.115,6337.0,1,29
16,3.6024096,61.21,0.12,6121.0,1,28
17,3.575,59.08,0.115,5908.0,1,27
18,3.627907,56.99,0.125,5699.0,1,26
19,3.5930233,54.93,0.145,5493.0,1,25
20,3.5903614,52.955,0.18,5295.5,1,24
21,3.609756,50.96,0.165,5096.0,1,23
22,3.6,49.015,0.195,4901.5,1,22
23,3.5714285,47.19,0.255,4719.0,1,21
24,3.597561,45.495,0.275,4549.5,1,20
25,3.6162791,43.88,0.295,4388.0,1,19
26,3.6190476,42.24,0.305,4224.0,1,18
27,3.639535,40.57,0.295,4057.0,1,17
28,3.6263735,38.765,0.255,3876.5,1,16
29,3.6222222,37.185,0.32,3718.5,1,15
30,3.625,35.76,0.385,3576.0,1,14
31,3.6222222,34.31,0.365,3431.0,1,13
32,3.6162791,32.895,0.395,3289.5,1,12
33,3.5747128,31.515,0.395,3151.5,1,11
34,3.5747128,30.14,0.435,3014.0,1,10
35,3.5842698,28.765,0.44,2876.5,1,9
36,3.597826,27.56,0.47,2756.0,1,8
37,3.5930233,26.445,0.55,2644.5,1,7
38,3.6,25.425,0.52,2542.5,1,6
39,3.609756,24.43,0.545,2443.0,1,5
40,3.6235294,23.29,0.505,2329.0,1,4
41,3.6067417,22.29,0.54,2229.0,1,3
42,3.5955057,21.26,0.56,2126.0,1,2
43,3.5894737,20.225,0.565,2022.5,1,1
44,3.6091955,19.375,0.615,1937.5,1,0
