t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.304,2.0,1,17
1,0.004,0.0,0.996,25.304,2.0,1,16
2,0.006,0.0,0.994,25.304,2.0,1,15
3,0.008,0.0,0.992,25.304,2.0,1,14
4,0.01,0.0,0.99,25.304,2.0,1,13
5,0.012,0.0,0.988,25.304,2.0,1,12
6,0.018,0.0,0.982,25.304,2.0,1,11
7,0.026,0.0,0.974,25.304,2.0,1,10
8,0.038,0.0,0.962,25.304,1.0,1,9
9,0.056,0.0,0.944,25.304,1.0,1,8
10,0.084,0.0,0.916,25.304,1.0,1,7
11,0.126,0.0,0.874,25.304,1.0,1,6
12,0.17,0.002,0.828,25.304,1.0,1,5
13,0.248,0.002,0.75,25.304,1.0,1,4
14,0.35,0.006,0.644,25.304,1.0,1,3
15,0.462,0.012,0.526,25.304,1.0,1,2
16,0.564,0.02,0.416,25.304,1.0,1,1
17,0.664,0.024,0.312,25.304,1.0,1,0
