t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.296,2.0,1,14
1,0.01,0.0,0.99,25.296,2.0,1,13
2,0.022,0.0,0.978,25.296,1.0,1,12
3,0.03,0.0,0.97,25.296,1.0,1,11
4,0.034,0.0,0.966,25.296,1.0,1,10
5,0.042,0.0,0.958,25.296,1.0,1,9
6,0.064,0.0,0.936,25.296,1.0,1,8
7,0.094,0.0,0.906,25.296,1.0,1,7
8,0.126,0.0,0.874,25.296,1.0,1,6
9,0.162,0.0,0.838,25.296,1.0,1,5
10,0.232,0.002,0.766,25.296,1.0,1,4
11,0.322,0.002,0.676,25.296,1.0,1,3
12,0.438,0.006,0.556,25.296,1.0,1,2
13,0.54,0.01,0.45,25.296,1.0,1,1
14,0.668,0.012,0.32,25.296,1.0,1,0
