t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.428,2.0,1,17
1,0.006,0.0,0.994,25.428,2.0,1,16
2,0.006,0.0,0.994,25.428,2.0,1,15
3,0.012,0.0,0.988,25.428,2.0,1,14
4,0.018,0.0,0.982,25.428,1.0,1,13
5,0.02,0.002,0.978,25.428,2.0,1,12
6,0.03,0.002,0.968,25.428,2.0,1,11
7,0.036,0.002,0.962,25.428,2.0,1,10
8,0.06,0.002,0.938,25.428,1.0,1,9
9,0.082,0.004,0.914,25.428,1.0,1,8
10,0.112,0.004,0.884,25.428,1.0,1,7
11,0.162,0.004,0.834,25.428,1.0,1,6
12,0.212,0.01,0.778,25.428,1.0,1,5
13,0.292,0.012,0.696,25.428,1.0,1,4
14,0.364,0.018,0.618,25.428,1.0,1,3
15,0.476,0.026,0.498,25.428,1.0,1,2
16,0.586,0.034,0.38,25.428,1.0,1,1
17,0.67,0.04,0.29,25.428,1.0,1,0
