t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.856,2.0,1,14
1,0.008,0.0,0.992,24.856,2.0,1,13
2,0.012,0.0,0.988,24.856,2.0,1,12
3,0.02,0.0,0.98,24.856,2.0,1,11
4,0.032,0.0,0.968,24.856,1.0,1,10
5,0.046,0.0,0.954,24.856,1.0,1,9
6,0.06,0.0,0.94,24.856,1.0,1,8
7,0.092,0.002,0.906,24.856,1.0,1,7
8,0.128,0.008,0.864,24.856,1.0,1,6
9,0.2,0.008,0.792,24.856,1.0,1,5
10,0.266,0.008,0.726,24.856,1.0,1,4
11,0.358,0.01,0.632,24.856,1.0,1,3
12,0.46,0.01,0.53,24.856,1.0,1,2
13,0.546,0.016,0.438,24.856,1.0,1,1
14,0.628,0.018,0.354,24.856,1.0,1,0
