t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.052,2.0,1,17
1,0.004,0.0,0.996,25.052,2.0,1,16
2,0.004,0.0,0.996,25.052,2.0,1,15
3,0.006,0.0,0.994,25.052,2.0,1,14
4,0.01,0.0,0.99,25.052,2.0,1,13
5,0.012,0.0,0.988,25.052,2.0,1,12
6,0.02,0.0,0.98,25.052,2.0,1,11
7,0.03,0.0,0.97,25.052,2.0,1,10
8,0.046,0.0,0.954,25.052,1.0,1,9
9,0.078,0.0,0.922,25.052,1.0,1,8
10,0.108,0.002,0.89,25.052,1.0,1,7
11,0.138,0.002,0.86,25.052,1.0,1,6
12,0.206,0.004,0.79,25.052,1.0,1,5
13,0.29,0.004,0.706,25.052,1.0,1,4
14,0.382,0.006,0.612,25.052,1.0,1,3
15,0.476,0.02,0.504,25.052,1.0,1,2
16,0.57,0.02,0.41,25.052,1.0,1,1
17,0.652,0.02,0.328,25.052,1.0,1,0
