t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.208,2.0,1,16
1,0.006,0.0,0.994,25.208,2.0,1,15
2,0.008,0.0,0.992,25.208,2.0,1,14
3,0.008,0.0,0.992,25.208,2.0,1,13
4,0.014,0.0,0.986,25.208,2.0,1,12
5,0.018,0.0,0.982,25.208,2.0,1,11
6,0.032,0.0,0.968,25.208,1.0,1,10
7,0.044,0.0,0.956,25.208,1.0,1,9
8,0.066,0.0,0.934,25.208,1.0,1,8
9,0.098,0.0,0.902,25.208,1.0,1,7
10,0.148,0.0,0.852,25.208,1.0,1,6
11,0.182,0.0,0.818,25.208,1.0,1,5
12,0.24,0.0,0.76,25.208,1.0,1,4
13,0.338,0.002,0.66,25.208,1.0,1,3
14,0.432,0.008,0.56,25.208,1.0,1,2
15,0.544,0.01,0.446,25.208,1.0,1,1
16,0.628,0.024,0.348,25.208,1.0,1,0
