t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.316,2.0,1,21
1,0.004,0.0,0.996,25.316,2.0,1,20
2,0.004,0.0,0.996,25.316,2.0,1,19
3,0.004,0.0,0.996,25.316,2.0,1,18
4,0.004,0.0,0.996,25.316,2.0,1,17
5,0.008,0.0,0.992,25.316,2.0,1,16
6,0.008,0.0,0.992,25.316,2.0,1,15
7,0.014,0.0,0.986,25.316,2.0,1,14
8,0.018,0.0,0.982,25.316,1.0,1,13
9,0.026,0.0,0.974,25.316,1.0,1,12
10,0.032,0.0,0.968,25.316,1.0,1,11
11,0.04,0.0,0.96,25.316,1.0,1,10
12,0.054,0.0,0.946,25.316,1.0,1,9
13,0.06,0.0,0.94,25.316,1.0,1,8
14,0.086,0.0,0.914,25.316,1.0,1,7
15,0.136,0.004,0.86,25.316,1.0,1,6
16,0.186,0.004,0.81,25.316,1.0,1,5
17,0.252,0.004,0.744,25.316,1.0,1,4
18,0.36,0.008,0.632,25.316,1.0,1,3
19,0.458,0.01,0.532,25.316,1.0,1,2
20,0.568,0.012,0.42,25.316,1.0,1,1
21,0.68,0.022,0.298,25.316,1.0,1,0
