t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.586207,100.0,0.0,10000.0,1,42
1,3.5955057,97.5,0.0,9750.0,1,41
2,3.6046512,95.0,0.0,9500.0,1,40
3,3.5777779,92.5,0.0,9250.0,1,39
4,3.5882354,90.0,0.0,9000.0,1,38
5,3.609756,87.5,0.0,8750.0,1,37
6,3.5882354,85.0,0.0,8500.0,1,36
7,3.5869565,82.5,0.0,8250.0,1,35
8,3.5955057,80.0,0.0,8000.0,1,34
9,3.5795455,77.5,0.0,7750.0,1,33
10,3.6162791,75.0,0.0,7500.0,1,32
11,3.6091955,72.53,0.03,7253.0,1,31
12,3.6470587,70.095,0.02,7009.5,1,30
13,3.6179776,67.66,0.04,6766.0,1,29
14,3.6235294,65.31,0.045,6531.0,1,28
15,3.6235294,62.96,0.045,6296.0,1,27
16,3.6136363,60.59,0.04,6059.0,1,26
17,3.5955057,58.28,0.08,5828.0,1,25
18,3.5795455,55.955,0.055,5595.5,1,24
19,3.6309524,53.67,0.065,5367.0,1,23
20,3.6352942,51.34,0.065,5134.0,1,22
21,3.5731707,49.04,0.09,4904.0,1,21
22,3.5903614,46.715,0.095,4671.5,1,20
23,3.6190476,44.7,0.175,4470.0,1,19
24,3.6117647,42.82,0.21,4282.0,1,18
25,3.6136363,41.12,0.295,4112.0,1,17
26,3.5747128,39.49,0.295,3949.0,1,16
27,3.5813954,37.87,0.32,3787.0,1,15
28,3.6117647,36.225,0.295,3622.5,1,14
29,3.6551723,34.6,0.325,3460.0,1,13
30,3.6785715,33.065,0.34,3306.5,1,12
31,3.6,31.62,0.375,3162.0,1,11
32,3.6206896,30.295,0.415,3029.5,1,10
33,3.6,28.845,0.37,2884.5,1,9
34,3.6162791,27.52,0.4,2752.0,1,8
35,3.6222222,26.095,0.41,2609.5,1,7
36,3.6043956,24.76,0.45,2476.0,1,6
37,3.597826,23.39,0.45,2339.0,1,5
38,3.6091955,22.155,0.495,2215.5,1,4
39,3.6136363,20.895,0.495,2089.5,1,3
40,3.6477273,19.795,0.535,1979.5,1,2
41,3.6296296,18.92,0.595,1892.0,1,1
42,3.654321,18.095,0.61,1809.5,1,0
