t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6190476,100.0,0.0,10000.0,1,44
1,3.6111112,97.5,0.0,9750.0,1,43
2,3.566265,95.0,0.0,9500.0,1,42
3,3.5731707,92.5,0.0,9250.0,1,41
4,3.5903614,90.0,0.0,9000.0,1,40
5,3.6091955,87.5,0.0,8750.0,1,39
6,3.658228,85.0,0.0,8500.0,1,38
7,3.6235294,82.5,0.0,8250.0,1,37
8,3.6363637,80.0,0.0,8000.0,1,36
9,3.625,77.5,0.0,7750.0,1,35
10,3.6309524,75.0,0.0,7500.0,1,34
11,3.6477273,72.5,0.0,7250.0,1,33
12,3.682353,70.0,0.0,7000.0,1,32
13,3.6626506,67.5,0.015,6750.0,1,31
14,3.639535,65.025,0.01,6502.5,1,30
15,3.6511629,62.56,0.035,6256.0,1,29
16,3.639535,60.21,0.045,6021.0,1,28
17,3.6,57.84,0.09,5784.0,1,27
18,3.6091955,55.605,0.09,5560.5,1,26
19,3.6022727,53.45,0.145,5345.0,1,25
20,3.6091955,51.495,0.215,5149.5,1,24
21,3.6206896,49.735,0.27,4973.5,1,23
22,3.625,47.97,0.24,4797.0,1,22
23,3.6162791,46.26,0.31,4626.0,1,21
24,3.659091,44.695,0.315,4469.5,1,20
25,3.6333334,43.0,0.305,4300.0,1,19
26,3.6477273,41.33,0.325,4133.0,1,18
27,3.6555555,39.71,0.335,3971.0,1,17
28,3.6477273,38.17,0.36,3817.0,1,16
29,3.6444445,36.715,0.39,3671.5,1,15
30,3.6292136,35.31,0.395,3531.0,1,14
31,3.6022727,33.885,0.37,3388.5,1,13
32,3.6344087,32.31,0.37,3231.0,1,12
33,3.6153846,30.9,0.4,3090.0,1,11
34,3.6483517,29.435,0.38,2943.5,1,10
35,3.6333334,27.95,0.385,2795.0,1,9
36,3.6470587,26.855,0.495,2685.5,1,8
37,3.6629214,25.68,0.495,2568.0,1,7
38,3.6477273,24.63,0.58,2463.0,1,6
39,3.6551723,23.865,0.595,2386.5,1,5
40,3.6588235,22.915,0.55,2291.5,1,4
41,3.6860466,21.975,0.57,2197.5,1,3
42,3.6511629,21.02,0.585,2102.0,1,2
43,3.6511629,20.025,0.59,2002.5,1,1
44,3.6860466,19.28,0.63,1928.0,1,0
