t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.76,2.0,1,13
1,0.01,0.0,0.99,24.76,2.0,1,12
2,0.018,0.0,0.982,24.76,2.0,1,11
3,0.028,0.0,0.972,24.76,2.0,1,10
4,0.042,0.0,0.958,24.76,1.0,1,9
5,0.052,0.002,0.946,24.76,1.0,1,8
6,0.078,0.002,0.92,24.76,1.0,1,7
7,0.114,0.004,0.882,24.76,1.0,1,6
8,0.19,0.004,0.806,24.76,1.0,1,5
9,0.258,0.008,0.734,24.76,1.0,1,4
10,0.332,0.008,0.66,24.76,1.0,1,3
11,0.41,0.012,0.578,24.76,1.0,1,2
12,0.52,0.016,0.464,24.76,1.0,1,1
13,0.606,0.02,0.374,24.76,1.0,1,0
