t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.128,2.0,1,19
1,0.004,0.0,0.996,25.128,2.0,1,18
2,0.004,0.0,0.996,25.128,2.0,1,17
3,0.004,0.0,0.996,25.128,2.0,1,16
4,0.004,0.0,0.996,25.128,2.0,1,15
5,0.008,0.0,0.992,25.128,2.0,1,14
6,0.01,0.0,0.99,25.128,2.0,1,13
7,0.012,0.0,0.988,25.128,2.0,1,12
8,0.02,0.0,0.98,25.128,2.0,1,11
9,0.034,0.0,0.966,25.128,2.0,1,10
10,0.044,0.0,0.956,25.128,2.0,1,9
11,0.064,0.002,0.934,25.128,2.0,1,8
12,0.096,0.002,0.902,25.128,1.0,1,7
13,0.14,0.002,0.858,25.128,1.0,1,6
14,0.182,0.004,0.814,25.128,1.0,1,5
15,0.274,0.008,0.718,25.128,1.0,1,4
16,0.354,0.01,0.636,25.128,1.0,1,3
17,0.434,0.018,0.548,25.128,1.0,1,2
18,0.548,0.018,0.434,25.128,1.0,1,1
19,0.618,0.022,0.36,25.128,1.0,1,0
