t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5795455,100.0,0.0,10000.0,1,37
1,3.597701,97.5,0.0,9750.0,1,36
2,3.639535,95.0,0.0,9500.0,1,35
3,3.5934067,92.5,0.0,9250.0,1,34
4,3.6,90.0,0.0,9000.0,1,33
5,3.6263735,87.5,0.0,8750.0,1,32
6,3.6111112,85.0,0.0,8500.0,1,31
7,3.6086957,82.5,0.0,8250.0,1,30
8,3.6111112,80.0,0.0,8000.0,1,29
9,3.6547618,77.5,0.0,7750.0,1,28
10,3.6206896,75.0,0.0,7500.0,1,27
11,3.607143,72.5,0.0,7250.0,1,26
12,3.607143,70.0,0.0,7000.0,1,25
13,3.6309524,67.56,0.025,6756.0,1,24
14,3.627907,65.145,0.025,6514.5,1,23
15,3.642857,62.76,0.045,6276.0,1,22
16,3.6794872,60.35,0.03,6035.0,1,21
17,3.682927,58.04,0.09,5804.0,1,20
18,3.6511629,55.85,0.11,5585.0,1,19
19,3.6309524,53.66,0.1,5366.0,1,18
20,3.6626506,51.505,0.12,5150.5,1,17
21,3.626506,49.34,0.11,4934.0,1,16
22,3.6162791,47.175,0.11,4717.5,1,15
23,3.586207,45.08,0.165,4508.0,1,14
24,3.5957446,43.22,0.22,4322.0,1,13
25,3.627907,41.42,0.255,4142.0,1,12
26,3.6436782,39.685,0.275,3968.5,1,11
27,3.6179776,38.06,0.29,3806.0,1,10
28,3.6153846,36.425,0.29,3642.5,1,9
29,3.6043956,34.74,0.32,3474.0,1,8
30,3.6162791,33.19,0.34,3319.0,1,7
31,3.6162791,31.7,0.35,3170.0,1,6
32,3.625,30.25,0.42,3025.0,1,5
33,3.6235294,29.065,0.49,2906.5,1,4
34,3.6091955,28.045,0.515,2804.5,1,3
35,3.5925925,27.045,0.525,2704.5,1,2
36,3.642857,26.035,0.51,2603.5,1,1
37,3.6385543,25.185,0.61,2518.5,1,0
