t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.804,2.0,1,16
1,0.004,0.0,0.996,24.804,2.0,1,15
2,0.008,0.0,0.992,24.804,2.0,1,14
3,0.01,0.0,0.99,24.804,2.0,1,13
4,0.014,0.0,0.986,24.804,2.0,1,12
5,0.018,0.0,0.982,24.804,2.0,1,11
6,0.022,0.0,0.978,24.804,1.0,1,10
7,0.026,0.004,0.97,24.804,1.0,1,9
8,0.044,0.004,0.952,24.804,1.0,1,8
9,0.07,0.004,0.926,24.804,1.0,1,7
10,0.102,0.006,0.892,24.804,1.0,1,6
11,0.172,0.006,0.822,24.804,1.0,1,5
12,0.242,0.006,0.752,24.804,1.0,1,4
13,0.326,0.012,0.662,24.804,1.0,1,3
14,0.43,0.014,0.556,24.804,1.0,1,2
15,0.514,0.022,0.464,24.804,1.0,1,1
16,0.6,0.026,0.374,24.804,1.0,1,0
