t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.972,2.0,1,16
1,0.006,0.0,0.994,24.972,2.0,1,15
2,0.008,0.0,0.992,24.972,2.0,1,14
3,0.012,0.0,0.988,24.972,1.0,1,13
4,0.022,0.0,0.978,24.972,1.0,1,12
5,0.034,0.002,0.964,24.972,3.0,1,11
6,0.048,0.002,0.95,24.972,1.0,1,10
7,0.074,0.002,0.924,24.972,1.0,1,9
8,0.112,0.006,0.882,24.972,2.0,1,8
9,0.142,0.006,0.852,24.972,2.0,1,7
10,0.174,0.01,0.816,24.972,1.0,1,6
11,0.218,0.012,0.77,24.972,1.0,1,5
12,0.298,0.016,0.686,24.972,1.0,1,4
13,0.39,0.016,0.594,24.972,1.0,1,3
14,0.482,0.018,0.5,24.972,1.0,1,2
15,0.59,0.032,0.378,24.972,1.0,1,1
16,0.68,0.034,0.286,24.972,1.0,1,0
