t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.64,2.0,1,16
1,0.004,0.0,0.996,24.64,2.0,1,15
2,0.008,0.0,0.992,24.64,2.0,1,14
3,0.01,0.0,0.99,24.64,2.0,1,13
4,0.012,0.0,0.988,24.64,2.0,1,12
5,0.024,0.0,0.976,24.64,1.0,1,11
6,0.036,0.0,0.964,24.64,1.0,1,10
7,0.056,0.0,0.944,24.64,1.0,1,9
8,0.084,0.002,0.914,24.64,1.0,1,8
9,0.128,0.004,0.868,24.64,1.0,1,7
10,0.176,0.004,0.82,24.64,1.0,1,6
11,0.23,0.006,0.764,24.64,1.0,1,5
12,0.288,0.016,0.696,24.64,1.0,1,4
13,0.37,0.024,0.606,24.64,1.0,1,3
14,0.478,0.028,0.494,24.64,1.0,1,2
15,0.578,0.028,0.394,24.64,1.0,1,1
16,0.666,0.03,0.304,24.64,1.0,1,0
