t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.588889,100.0,0.0,10000.0,1,41
1,3.590909,97.5,0.0,9750.0,1,40
2,3.5955057,95.0,0.0,9500.0,1,39
3,3.586207,92.5,0.0,9250.0,1,38
4,3.6136363,90.0,0.0,9000.0,1,37
5,3.642857,87.5,0.0,8750.0,1,36
6,3.588889,85.0,0.0,8500.0,1,35
7,3.625,82.5,0.0,8250.0,1,34
8,3.597701,80.0,0.0,8000.0,1,33
9,3.6067417,77.5,0.0,7750.0,1,32
10,3.6206896,75.0,0.0,7500.0,1,31
11,3.639535,72.5,0.0,7250.0,1,30
12,3.6629214,70.0,0.0,7000.0,1,29
13,3.6309524,67.5,0.0,6750.0,1,28
14,3.6341465,65.0,0.0,6500.0,1,27
15,3.6091955,62.51,0.035,6251.0,1,26
16,3.6162791,60.13,0.06,6013.0,1,25
17,3.6511629,57.78,0.06,5778.0,1,24
18,3.6588235,55.42,0.065,5542.0,1,23
19,3.6375,53.18,0.1,5318.0,1,22
20,3.654321,51.055,0.125,5105.5,1,21
21,3.6162791,48.93,0.145,4893.0,1,20
22,3.6235294,46.89,0.205,4689.0,1,19
23,3.627907,44.89,0.21,4489.0,1,18
24,3.6067417,43.125,0.245,4312.5,1,17
25,3.6551723,41.36,0.26,4136.0,1,16
26,3.6363637,39.64,0.29,3964.0,1,15
27,3.6136363,37.93,0.265,3793.0,1,14
28,3.6666667,36.395,0.36,3639.5,1,13
29,3.627907,34.97,0.355,3497.0,1,12
30,3.6666667,33.655,0.425,3365.5,1,11
31,3.625,32.28,0.435,3228.0,1,10
32,3.6086957,30.87,0.38,3087.0,1,9
33,3.6206896,29.555,0.45,2955.5,1,8
34,3.6046512,28.275,0.445,2827.5,1,7
35,3.6162791,27.01,0.43,2701.0,1,6
36,3.6363637,25.635,0.47,2563.5,1,5
37,3.639535,24.475,0.475,2447.5,1,4
38,3.6352942,23.285,0.505,2328.5,1,3
39,3.6436782,22.135,0.525,2213.5,1,2
40,3.6321838,21.21,0.585,2121.0,1,1
41,3.6860466,20.55,0.655,2055.0,1,0
