t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6022727,100.0,0.0,10000.0,1,41
1,3.6111112,97.5,0.0,9750.0,1,40
2,3.6162791,95.0,0.0,9500.0,1,39
3,3.6444445,92.5,0.0,9250.0,1,38
4,3.6470587,90.0,0.0,9000.0,1,37
5,3.6162791,87.5,0.0,8750.0,1,36
6,3.6235294,85.0,0.0,8500.0,1,35
7,3.6067417,82.5,0.0,8250.0,1,34
8,3.6333334,80.0,0.0,8000.0,1,33
9,3.6086957,77.5,0.0,7750.0,1,32
10,3.6206896,75.0,0.0,7500.0,1,31
11,3.626506,72.5,0.0,7250.0,1,30
12,3.6162791,70.035,0.025,7003.5,1,29
13,3.627907,67.6,0.02,6760.0,1,28
14,3.5952382,65.19,0.04,6519.0,1,27
15,3.6179776,62.85,0.07,6285.0,1,26
16,3.6043956,60.525,0.055,6052.5,1,25
17,3.6162791,58.26,0.105,5826.0,1,24
18,3.6444445,56.06,0.09,5606.0,1,23
19,3.5913978,53.8,0.075,5380.0,1,22
20,3.6111112,51.595,0.095,5159.5,1,21
21,3.625,49.36,0.1,4936.0,1,20
22,3.597701,47.16,0.135,4716.0,1,19
23,3.627907,45.1,0.17,4510.0,1,18
24,3.6263735,43.14,0.2,4314.0,1,17
25,3.5934067,41.14,0.185,4114.0,1,16
26,3.639535,39.22,0.235,3922.0,1,15
27,3.6506023,37.32,0.21,3732.0,1,14
28,3.6206896,35.455,0.23,3545.5,1,13
29,3.625,33.7,0.255,3370.0,1,12
30,3.6352942,31.955,0.305,3195.5,1,11
31,3.5955057,30.39,0.315,3039.0,1,10
32,3.6436782,28.94,0.37,2894.0,1,9
33,3.6588235,27.475,0.35,2747.5,1,8
34,3.625,26.225,0.455,2622.5,1,7
35,3.6292136,25.05,0.455,2505.0,1,6
36,3.6067417,23.825,0.455,2382.5,1,5
37,3.627907,22.53,0.44,2253.0,1,4
38,3.6162791,21.29,0.53,2129.0,1,3
39,3.6341465,20.43,0.585,2043.0,1,2
40,3.5952382,19.605,0.58,1960.5,1,1
41,3.6626506,18.965,0.665,1896.5,1,0
