t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.936,2.0,1,15
1,0.004,0.0,0.996,24.936,2.0,1,14
2,0.012,0.0,0.988,24.936,2.0,1,13
3,0.018,0.0,0.982,24.936,2.0,1,12
4,0.022,0.0,0.978,24.936,2.0,1,11
5,0.028,0.0,0.972,24.936,1.0,1,10
6,0.036,0.0,0.964,24.936,1.0,1,9
7,0.056,0.002,0.942,24.936,1.0,1,8
8,0.084,0.004,0.912,24.936,1.0,1,7
9,0.112,0.006,0.882,24.936,1.0,1,6
10,0.17,0.006,0.824,24.936,1.0,1,5
11,0.24,0.01,0.75,24.936,1.0,1,4
12,0.314,0.01,0.676,24.936,1.0,1,3
13,0.434,0.016,0.55,24.936,1.0,1,2
14,0.52,0.016,0.464,24.936,1.0,1,1
15,0.604,0.022,0.374,24.936,1.0,1,0
