t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.648,1.0,1,17
1,0.006,0.0,0.994,24.648,1.0,1,16
2,0.006,0.0,0.994,24.648,1.0,1,15
3,0.008,0.0,0.992,24.648,1.0,1,14
4,0.01,0.0,0.99,24.648,1.0,1,13
5,0.014,0.0,0.986,24.648,1.0,1,12
6,0.02,0.0,0.98,24.648,1.0,1,11
7,0.042,0.0,0.958,24.648,1.0,1,10
8,0.056,0.0,0.944,24.648,1.0,1,9
9,0.07,0.0,0.93,24.648,1.0,1,8
10,0.092,0.0,0.908,24.648,1.0,1,7
11,0.13,0.002,0.868,24.648,1.0,1,6
12,0.184,0.002,0.814,24.648,1.0,1,5
13,0.25,0.008,0.742,24.648,1.0,1,4
14,0.324,0.008,0.668,24.648,1.0,1,3
15,0.422,0.008,0.57,24.648,1.0,1,2
16,0.522,0.01,0.468,24.648,1.0,1,1
17,0.638,0.016,0.346,24.648,1.0,1,0
