t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.621951,100.0,0.0,10000.0,1,38
1,3.597701,97.5,0.0,9750.0,1,37
2,3.6111112,95.0,0.0,9500.0,1,36
3,3.6404495,92.5,0.0,9250.0,1,35
4,3.6235294,90.0,0.0,9000.0,1,34
5,3.6705883,87.5,0.0,8750.0,1,33
6,3.625,85.0,0.0,8500.0,1,32
7,3.621951,82.5,0.0,8250.0,1,31
8,3.670886,80.0,0.0,8000.0,1,30
9,3.6309524,77.5,0.0,7750.0,1,29
10,3.6309524,75.0,0.0,7500.0,1,28
11,3.6117647,72.5,0.0,7250.0,1,27
12,3.607143,70.0,0.0,7000.0,1,26
13,3.625,67.52,0.02,6752.0,1,25
14,3.6046512,65.105,0.025,6510.5,1,24
15,3.607143,62.74,0.07,6274.0,1,23
16,3.6506023,60.585,0.16,6058.5,1,22
17,3.6477273,58.48,0.135,5848.0,1,21
18,3.6091955,56.26,0.1,5626.0,1,20
19,3.6477273,54.07,0.115,5407.0,1,19
20,3.6404495,51.87,0.125,5187.0,1,18
21,3.627907,49.82,0.18,4982.0,1,17
22,3.625,47.92,0.225,4792.0,1,16
23,3.6436782,46.16,0.28,4616.0,1,15
24,3.6153846,44.26,0.235,4426.0,1,14
25,3.6179776,42.315,0.21,4231.5,1,13
26,3.6136363,40.29,0.265,4029.0,1,12
27,3.6179776,38.435,0.255,3843.5,1,11
28,3.6352942,36.72,0.31,3672.0,1,10
29,3.6363637,35.145,0.345,3514.5,1,9
30,3.6111112,33.935,0.46,3393.5,1,8
31,3.6046512,32.63,0.425,3263.0,1,7
32,3.6022727,31.5,0.465,3150.0,1,6
33,3.6206896,30.285,0.48,3028.5,1,5
34,3.6363637,29.15,0.5,2915.0,1,4
35,3.6309524,28.17,0.53,2817.0,1,3
36,3.6117647,27.17,0.525,2717.0,1,2
37,3.6385543,26.265,0.565,2626.5,1,1
38,3.6585367,25.44,0.6,2544.0,1,0
