t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6206896,100.0,0.0,10000.0,1,40
1,3.609756,97.5,0.0,9750.0,1,39
2,3.590909,95.0,0.0,9500.0,1,38
3,3.607143,92.5,0.0,9250.0,1,37
4,3.6341465,90.0,0.0,9000.0,1,36
5,3.6352942,87.5,0.0,8750.0,1,35
6,3.642857,85.0,0.0,8500.0,1,34
7,3.6049383,82.5,0.0,8250.0,1,33
8,3.5930233,80.0,0.0,8000.0,1,32
9,3.6352942,77.5,0.0,7750.0,1,31
10,3.6206896,75.045,0.02,7504.5,1,30
11,3.6222222,72.62,0.04,7262.0,1,29
12,3.6404495,70.31,0.055,7031.0,1,28
13,3.65,67.98,0.05,6798.0,1,27
14,3.6,65.61,0.04,6561.0,1,26
15,3.6363637,63.27,0.06,6327.0,1,25
16,3.6111112,61.06,0.095,6106.0,1,24
17,3.6444445,58.84,0.085,5884.0,1,23
18,3.6235294,56.685,0.115,5668.5,1,22
19,3.6292136,54.55,0.11,5455.0,1,21
20,3.6162791,52.64,0.19,5264.0,1,20
21,3.6190476,50.7,0.18,5070.0,1,19
22,3.6292136,48.75,0.185,4875.0,1,18
23,3.6470587,46.78,0.21,4678.0,1,17
24,3.6190476,44.99,0.245,4499.0,1,16
25,3.6046512,43.28,0.28,4328.0,1,15
26,3.6666667,41.565,0.265,4156.5,1,14
27,3.6436782,39.87,0.29,3987.0,1,13
28,3.6744187,38.28,0.31,3828.0,1,12
29,3.6333334,36.66,0.315,3666.0,1,11
30,3.6404495,35.125,0.355,3512.5,1,10
31,3.6022727,33.585,0.335,3358.5,1,9
32,3.5842698,32.115,0.355,3211.5,1,8
33,3.6043956,30.73,0.41,3073.0,1,7
34,3.5934067,29.265,0.385,2926.5,1,6
35,3.625,27.815,0.45,2781.5,1,5
36,3.6292136,26.63,0.515,2663.0,1,4
37,3.659091,25.665,0.585,2566.5,1,3
38,3.6321838,24.77,0.57,2477.0,1,2
39,3.6363637,23.945,0.595,2394.5,1,1
40,3.6551723,23.21,0.605,2321.0,1,0
