t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.812,2.0,1,19
1,0.004,0.0,0.996,24.812,2.0,1,18
2,0.004,0.0,0.996,24.812,2.0,1,17
3,0.004,0.0,0.996,24.812,2.0,1,16
4,0.008,0.0,0.992,24.812,2.0,1,15
5,0.012,0.0,0.988,24.812,2.0,1,14
6,0.012,0.0,0.988,24.812,2.0,1,13
7,0.016,0.0,0.984,24.812,2.0,1,12
8,0.022,0.0,0.978,24.812,2.0,1,11
9,0.026,0.0,0.974,24.812,2.0,1,10
10,0.038,0.0,0.962,24.812,2.0,1,9
11,0.058,0.0,0.942,24.812,2.0,1,8
12,0.084,0.002,0.914,24.812,1.0,1,7
13,0.13,0.004,0.866,24.812,2.0,1,6
14,0.198,0.004,0.798,24.812,1.0,1,5
15,0.258,0.006,0.736,24.812,1.0,1,4
16,0.326,0.01,0.664,24.812,1.0,1,3
17,0.428,0.012,0.56,24.812,1.0,1,2
18,0.534,0.014,0.452,24.812,1.0,1,1
19,0.634,0.026,0.34,24.812,1.0,1,0
