t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.84,2.0,1,12
1,0.008,0.0,0.992,24.84,2.0,1,11
2,0.016,0.0,0.984,24.84,1.0,1,10
3,0.028,0.0,0.972,24.84,1.0,1,9
4,0.046,0.0,0.954,24.84,1.0,1,8
5,0.082,0.0,0.918,24.84,1.0,1,7
6,0.118,0.002,0.88,24.84,1.0,1,6
7,0.158,0.002,0.84,24.84,1.0,1,5
8,0.218,0.002,0.78,24.84,1.0,1,4
9,0.308,0.002,0.69,24.84,1.0,1,3
10,0.422,0.004,0.574,24.84,1.0,1,2
11,0.506,0.004,0.49,24.84,1.0,1,1
12,0.602,0.004,0.394,24.84,1.0,1,0
