t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.972,2.0,1,17
1,0.008,0.0,0.992,24.972,1.0,1,16
2,0.01,0.0,0.99,24.972,1.0,1,15
3,0.014,0.0,0.986,24.972,1.0,1,14
4,0.018,0.0,0.982,24.972,1.0,1,13
5,0.024,0.0,0.976,24.972,1.0,1,12
6,0.026,0.0,0.974,24.972,1.0,1,11
7,0.036,0.0,0.964,24.972,1.0,1,10
8,0.044,0.002,0.954,24.972,1.0,1,9
9,0.056,0.002,0.942,24.972,1.0,1,8
10,0.086,0.004,0.91,24.972,1.0,1,7
11,0.12,0.004,0.876,24.972,1.0,1,6
12,0.184,0.004,0.812,24.972,1.0,1,5
13,0.26,0.004,0.736,24.972,1.0,1,4
14,0.368,0.004,0.628,24.972,1.0,1,3
15,0.492,0.008,0.5,24.972,1.0,1,2
16,0.59,0.01,0.4,24.972,1.0,1,1
17,0.67,0.014,0.316,24.972,1.0,1,0
