t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6162791,100.0,0.0,10000.0,1,41
1,3.627907,97.5,0.0,9750.0,1,40
2,3.639535,95.0,0.0,9500.0,1,39
3,3.6235294,92.5,0.0,9250.0,1,38
4,3.6436782,90.0,0.0,9000.0,1,37
5,3.607143,87.5,0.0,8750.0,1,36
6,3.642857,85.0,0.0,8500.0,1,35
7,3.6136363,82.5,0.0,8250.0,1,34
8,3.6086957,80.0,0.0,8000.0,1,33
9,3.6,77.5,0.0,7750.0,1,32
10,3.6263735,75.0,0.0,7500.0,1,31
11,3.6309524,72.5,0.0,7250.0,1,30
12,3.6506023,70.0,0.0,7000.0,1,29
13,3.6744187,67.5,0.0,6750.0,1,28
14,3.625,65.005,0.025,6500.5,1,27
15,3.6235294,62.59,0.045,6259.0,1,26
16,3.6206896,60.215,0.06,6021.5,1,25
17,3.6153846,57.95,0.085,5795.0,1,24
18,3.6463416,55.745,0.125,5574.5,1,23
19,3.6385543,53.58,0.11,5358.0,1,22
20,3.6144578,51.39,0.12,5139.0,1,21
21,3.621951,49.25,0.13,4925.0,1,20
22,3.6309524,47.2,0.17,4720.0,1,19
23,3.597701,45.235,0.22,4523.5,1,18
24,3.6333334,43.24,0.175,4324.0,1,17
25,3.5913978,41.295,0.205,4129.5,1,16
26,3.588889,39.42,0.23,3942.0,1,15
27,3.5952382,37.65,0.275,3765.0,1,14
28,3.6236558,35.875,0.255,3587.5,1,13
29,3.6206896,34.22,0.3,3422.0,1,12
30,3.6117647,32.7,0.36,3270.0,1,11
31,3.6049383,31.275,0.38,3127.5,1,10
32,3.621951,29.975,0.435,2997.5,1,9
33,3.6777778,28.6,0.41,2860.0,1,8
34,3.6404495,27.305,0.42,2730.5,1,7
35,3.6263735,26.06,0.49,2606.0,1,6
36,3.6666667,24.885,0.495,2488.5,1,5
37,3.659091,23.815,0.545,2381.5,1,4
38,3.6222222,22.88,0.545,2288.0,1,3
39,3.6333334,21.785,0.505,2178.5,1,2
40,3.6666667,20.745,0.52,2074.5,1,1
41,3.6785715,19.865,0.615,1986.5,1,0
