t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6363637,100.0,0.0,10000.0,1,43
1,3.6235294,97.5,0.0,9750.0,1,42
2,3.6385543,95.0,0.0,9500.0,1,41
3,3.6117647,92.5,0.0,9250.0,1,40
4,3.6091955,90.0,0.0,9000.0,1,39
5,3.6144578,87.5,0.0,8750.0,1,38
6,3.6190476,85.0,0.0,8500.0,1,37
7,3.625,82.5,0.0,8250.0,1,36
8,3.6263735,80.0,0.0,8000.0,1,35
9,3.6021504,77.5,0.0,7750.0,1,34
10,3.5851064,75.0,0.0,7500.0,1,33
11,3.6309524,72.5,0.0,7250.0,1,32
12,3.6296296,70.0,0.0,7000.0,1,31
13,3.6022727,67.56,0.02,6756.0,1,30
14,3.6547618,65.145,0.025,6514.5,1,29
15,3.6292136,62.73,0.06,6273.0,1,28
16,3.6136363,60.36,0.06,6036.0,1,27
17,3.6179776,58.04,0.07,5804.0,1,26
18,3.6022727,55.77,0.085,5577.0,1,25
19,3.6547618,53.64,0.13,5364.0,1,24
20,3.6363637,51.6,0.17,5160.0,1,23
21,3.625,49.66,0.205,4966.0,1,22
22,3.6506023,47.75,0.215,4775.0,1,21
23,3.6049383,45.895,0.21,4589.5,1,20
24,3.6117647,44.165,0.29,4416.5,1,19
25,3.5930233,42.565,0.305,4256.5,1,18
26,3.6463416,40.94,0.305,4094.0,1,17
27,3.6329114,39.525,0.43,3952.5,1,16
28,3.6125,38.38,0.445,3838.0,1,15
29,3.6329114,37.09,0.415,3709.0,1,14
30,3.6190476,35.79,0.415,3579.0,1,13
31,3.626506,34.49,0.43,3449.0,1,12
32,3.642857,33.21,0.465,3321.0,1,11
33,3.659091,32.04,0.495,3204.0,1,10
34,3.6,30.92,0.495,3092.0,1,9
35,3.642857,29.765,0.475,2976.5,1,8
36,3.6627908,28.66,0.5,2866.0,1,7
37,3.689655,27.515,0.545,2751.5,1,6
38,3.6746988,26.555,0.54,2655.5,1,5
39,3.6666667,25.615,0.545,2561.5,1,4
40,3.6547618,24.615,0.53,2461.5,1,3
41,3.6419754,23.66,0.56,2366.0,1,2
42,3.639535,22.71,0.585,2271.0,1,1
43,3.642857,21.99,0.665,2199.0,1,0
