t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.7,2.0,1,20
1,0.004,0.0,0.996,24.7,2.0,1,19
2,0.004,0.0,0.996,24.7,2.0,1,18
3,0.004,0.0,0.996,24.7,2.0,1,17
4,0.004,0.0,0.996,24.7,2.0,1,16
5,0.004,0.0,0.996,24.7,2.0,1,15
6,0.006,0.0,0.994,24.7,2.0,1,14
7,0.008,0.0,0.992,24.7,2.0,1,13
8,0.012,0.0,0.988,24.7,2.0,1,12
9,0.018,0.0,0.982,24.7,1.0,1,11
10,0.024,0.0,0.976,24.7,1.0,1,10
11,0.04,0.0,0.96,24.7,1.0,1,9
12,0.064,0.0,0.936,24.7,1.0,1,8
13,0.102,0.0,0.898,24.7,1.0,1,7
14,0.13,0.0,0.87,24.7,1.0,1,6
15,0.188,0.002,0.81,24.7,1.0,1,5
16,0.26,0.002,0.738,24.7,1.0,1,4
17,0.344,0.002,0.654,24.7,1.0,1,3
18,0.462,0.006,0.532,24.7,1.0,1,2
19,0.558,0.012,0.43,24.7,1.0,1,1
20,0.644,0.02,0.336,24.7,1.0,1,0
