t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event,run_id,split,seed
8,0.074,0.0,0.926,24.676,1.0,1,8,sir_graph_seed_12,train,12
9,0.106,0.0,0.894,24.676,1.0,1,7,sir_graph_seed_12,train,12
10,0.164,0.0,0.836,24.676,1.0,1,6,sir_graph_seed_12,train,12
11,0.24,0.002,0.758,24.676,1.0,1,5,sir_graph_seed_12,train,12
12,0.302,0.002,0.696,24.676,1.0,1,4,sir_graph_seed_12,train,12
13,0.372,0.008,0.62,24.676,1.0,1,3,sir_graph_seed_12,train,12
14,0.474,0.01,0.516,24.676,1.0,1,2,sir_graph_seed_12,train,12
15,0.574,0.014,0.412,24.676,1.0,1,1,sir_graph_seed_12,train,12
16,0.66,0.024,0.316,24.676,1.0,1,0,sir_graph_seed_12,train,12
0,0.004,0.0,0.996,25.216,2.0,1,15,sir_graph_seed_13,train,13
1,0.006,0.0,0.994,25.216,2.0,1,14,sir_graph_seed_13,train,13
2,0.008,0.0,0.992,25.216,2.0,1,13,sir_graph_seed_13,train,13
3,0.012,0.0,0.988,25.216,2.0,1,12,sir_graph_seed_13,train,13
4,0.018,0.0,0.982,25.216,2.0,1,11,sir_graph_seed_13,train,13
5,0.024,0.002,0.974,25.216,2.0,1,10,sir_graph_seed_13,train,13
6,0.044,0.002,0.954,25.216,2.0,1,9,sir_graph_seed_13,train,13
7,0.066,0.002,0.932,25.216,1.0,1,8,sir_graph_seed_13,train,13
8,0.088,0.004,0.908,25.216,1.0,1,7,sir_graph_seed_13,train,13
9,0.122,0.01,0.868,25.216,1.0,1,6,sir_graph_seed_13,train,13
10,0.166,0.014,0.82,25.216,1.0,1,5,sir_graph_seed_13,train,13
11,0.226,0.014,0.76,25.216,1.0,1,4,sir_graph_seed_13,train,13
12,0.314,0.014,0.672,25.216,1.0,1,3,sir_graph_seed_13,train,13
13,0.398,0.016,0.586,25.216,1.0,1,2,sir_graph_seed_13,train,13
14,0.522,0.02,0.458,25.216,1.0,1,1,sir_graph_seed_13,train,13
15,0.614,0.028,0.358,25.216,1.0,1,0,sir_graph_seed_13,train,13
0,0.004,0.0,0.996,24.684,2.0,1,15,sir_graph_seed_14,train,14
1,0.004,0.0,0.996,24.684,2.0,1,14,sir_graph_seed_14,train,14
2,0.006,0.0,0.994,24.684,1.0,1,13,sir_graph_seed_14,train,14
3,0.012,0.0,0.988,24.684,1.0,1,12,sir_graph_seed_14,train,14
4,0.022,0.0,0.978,24.684,1.0,1,11,sir_graph_seed_14,train,14
5,0.03,0.0,0.97,24.684,1.0,1,10,sir_graph_seed_14,train,14
6,0.048,0.0,0.952,24.684,1.0,1,9,sir_graph_seed_14,train,14
7,0.068,0.0,0.932,24.684,1.0,1,8,sir_graph_seed_14,train,14
8,0.096,0.002,0.902,24.684,1.0,1,7,sir_graph_seed_14,train,14
9,0.134,0.002,0.864,24.684,1.0,1,6,sir_graph_seed_14,train,14
10,0.168,0.006,0.826,24.684,1.0,1,5,sir_graph_seed_14,train,14
11,0.236,0.006,0.758,24.684,1.0,1,4,sir_graph_seed_14,train,14
12,0.316,0.008,0.676,24.684,1.0,1,3,sir_graph_seed_14,train,14
13,0.41,0.01,0.58,24.684,1.0,1,2,sir_graph_seed_14,train,14
14,0.532,0.012,0.456,24.684,1.0,1,1,sir_graph_seed_14,train,14
15,0.632,0.016,0.352,24.684,1.0,1,0,sir_graph_seed_14,train,14
0,0.004,0.0,0.996,24.6,2.0,1,15,sir_graph_seed_15,train,15
1,0.006,0.0,0.994,24.6,2.0,1,14,sir_graph_seed_15,train,15
2,0.01,0.0,0.99,24.6,2.0,1,13,sir_graph_seed_15,train,15
3,0.016,0.0,0.984,24.6,1.0,1,12,sir_graph_seed_15,train,15
4,0.022,0.0,0.978,24.6,1.0,1,11,sir_graph_seed_15,train,15
5,0.044,0.0,0.956,24.6,1.0,1,10,sir_graph_seed_15,train,15
6,0.066,0.0,0.934,24.6,1.0,1,9,sir_graph_seed_15,train,15
7,0.086,0.002,0.912,24.6,1.0,1,8,sir_graph_seed_15,train,15
8,0.118,0.004,0.878,24.6,1.0,1,7,sir_graph_seed_15,train,15
9,0.152,0.006,0.842,24.6,1.0,1,6,sir_graph_seed_15,train,15
10,0.216,0.006,0.778,24.6,1.0,1,5,sir_graph_seed_15,train,15
11,0.298,0.01,0.692,24.6,1.0,1,4,sir_graph_seed_15,train,15
12,0.378,0.016,0.606,24.6,1.0,1,3,sir_graph_seed_15,train,15
13,0.474,0.022,0.504,24.6,1.0,1,2,sir_graph_seed_15,train,15
14,0.572,0.026,0.402,24.6,1.0,1,1,sir_graph_seed_15,train,15
15,0.654,0.034,0.312,24.6,1.0,1,0,sir_graph_seed_15,train,15
0,0.004,0.0,0.996,24.756,2.0,1,16,sir_graph_seed_16,train,16
1,0.006,0.0,0.994,24.756,2.0,1,15,sir_graph_seed_16,train,16
2,0.006,0.0,0.994,24.756,2.0,1,14,sir_graph_seed_16,train,16
3,0.01,0.0,0.99,24.756,2.0,1,13,sir_graph_seed_16,train,16
4,0.012,0.0,0.988,24.756,2.0,1,12,sir_graph_seed_16,train,16
5,0.018,0.0,0.982,24.756,2.0,1,11,sir_graph_seed_16,train,16
6,0.032,0.0,0.968,24.756,2.0,1,10,sir_graph_seed_16,train,16
7,0.038,0.0,0.962,24.756,2.0,1,9,sir_graph_seed_16,train,16
8,0.068,0.0,0.932,24.756,2.0,1,8,sir_graph_seed_16,train,16
9,0.088,0.0,0.912,24.756,2.0,1,7,sir_graph_seed_16,train,16
10,0.118,0.002,0.88,24.756,1.0,1,6,sir_graph_seed_16,train,16
11,0.16,0.002,0.838,24.756,1.0,1,5,sir_graph_seed_16,train,16
12,0.226,0.004,0.77,24.756,1.0,1,4,sir_graph_seed_16,train,16
13,0.322,0.006,0.672,24.756,1.0,1,3,sir_graph_seed_16,train,16
14,0.406,0.01,0.584,24.756,1.0,1,2,sir_graph_seed_16,train,16
15,0.508,0.012,0.48,24.756,1.0,1,1,sir_graph_seed_16,train,16
16,0.6,0.022,0.378,24.756,1.0,1,0,sir_graph_seed_16,train,16
0,0.004,0.0,0.996,25.296,2.0,1,14,sir_graph_seed_17,train,17
1,0.01,0.0,0.99,25.296,2.0,1,13,sir_graph_seed_17,train,17
2,0.022,0.0,0.978,25.296,1.0,1,12,sir_graph_seed_17,train,17
3,0.03,0.0,0.97,25.296,1.0,1,11,sir_graph_seed_17,train,17
4,0.034,0.0,0.966,25.296,1.0,1,10,sir_graph_seed_17,train,17
5,0.042,0.0,0.958,25.296,1.0,1,9,sir_graph_seed_17,train,17
6,0.064,0.0,0.936,25.296,1.0,1,8,sir_graph_seed_17,train,17
7,0.094,0.0,0.906,25.296,1.0,1,7,sir_graph_seed_17,train,17
8,0.126,0.0,0.874,25.296,1.0,1,6,sir_graph_seed_17,train,17
9,0.162,0.0,0.838,25.296,1.0,1,5,sir_graph_seed_17,train,17
10,0.232,0.002,0.766,25.296,1.0,1,4,sir_graph_seed_17,train,17
11,0.322,0.002,0.676,25.296,1.0,1,3,sir_graph_seed_17,train,17
12,0.438,0.006,0.556,25.296,1.0,1,2,sir_graph_seed_17,train,17
13,0.54,0.01,0.45,25.296,1.0,1,1,sir_graph_seed_17,train,17
14,0.668,0.012,0.32,25.296,1.0,1,0,sir_graph_seed_17,train,17
0,0.004,0.0,0.996,25.116,2.0,1,14,sir_graph_seed_18,train,18
1,0.008,0.0,0.992,25.116,1.0,1,13,sir_graph_seed_18,train,18
2,0.014,0.0,0.986,25.116,1.0,1,12,sir_graph_seed_18,train,18
3,0.022,0.0,0.978,25.116,1.0,1,11,sir_graph_seed_18,train,18
4,0.032,0.0,0.968,25.116,1.0,1,10,sir_graph_seed_18,train,18
5,0.05,0.0,0.95,25.116,1.0,1,9,sir_graph_seed_18,train,18
6,0.07,0.0,0.93,25.116,1.0,1,8,sir_graph_seed_18,train,18
7,0.102,0.0,0.898,25.116,1.0,1,7,sir_graph_seed_18,train,18
8,0.138,0.0,0.862,25.116,1.0,1,6,sir_graph_seed_18,train,18
9,0.186,0.0,0.814,25.116,1.0,1,5,sir_graph_seed_18,train,18
10,0.27,0.004,0.726,25.116,1.0,1,4,sir_graph_seed_18,train,18
11,0.368,0.006,0.626,25.116,1.0,1,3,sir_graph_seed_18,train,18
12,0.466,0.008,0.526,25.116,1.0,1,2,sir_graph_seed_18,train,18
13,0.578,0.016,0.406,25.116,1.0,1,1,sir_graph_seed_18,train,18
14,0.682,0.02,0.298,25.116,1.0,1,0,sir_graph_seed_18,train,18
0,0.004,0.0,0.996,24.804,2.0,1,16,sir_graph_seed_19,train,19
1,0.004,0.0,0.996,24.804,2.0,1,15,sir_graph_seed_19,train,19
2,0.008,0.0,0.992,24.804,2.0,1,14,sir_graph_seed_19,train,19
3,0.01,0.0,0.99,24.804,2.0,1,13,sir_graph_seed_19,train,19
4,0.014,0.0,0.986,24.804,2.0,1,12,sir_graph_seed_19,train,19
5,0.018,0.0,0.982,24.804,2.0,1,11,sir_graph_seed_19,train,19
6,0.022,0.0,0.978,24.804,1.0,1,10,sir_graph_seed_19,train,19
7,0.026,0.004,0.97,24.804,1.0,1,9,sir_graph_seed_19,train,19
8,0.044,0.004,0.952,24.804,1.0,1,8,sir_graph_seed_19,train,19
