t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6136363,100.0,0.0,10000.0,1,44
1,3.607143,97.5,0.0,9750.0,1,43
2,3.5952382,95.0,0.0,9500.0,1,42
3,3.590909,92.5,0.0,9250.0,1,41
4,3.6179776,90.0,0.0,9000.0,1,40
5,3.6363637,87.5,0.0,8750.0,1,39
6,3.6506023,85.0,0.0,8500.0,1,38
7,3.6470587,82.5,0.0,8250.0,1,37
8,3.6506023,80.0,0.0,8000.0,1,36
9,3.6363637,77.5,0.0,7750.0,1,35
10,3.6705883,75.0,0.0,7500.0,1,34
11,3.6511629,72.5,0.0,7250.0,1,33
12,3.6744187,70.0,0.0,7000.0,1,32
13,3.6627908,67.5,0.0,6750.0,1,31
14,3.6941175,65.0,0.0,6500.0,1,30
15,3.6627908,62.5,0.0,6250.0,1,29
16,3.6179776,60.0,0.0,6000.0,1,28
17,3.6341465,57.5,0.0,5750.0,1,27
18,3.6842105,55.005,0.025,5500.5,1,26
19,3.658228,52.65,0.065,5265.0,1,25
20,3.6941175,50.28,0.065,5028.0,1,24
21,3.65,48.08,0.095,4808.0,1,23
22,3.6309524,45.88,0.145,4588.0,1,22
23,3.6111112,43.87,0.16,4387.0,1,21
24,3.6179776,41.97,0.215,4197.0,1,20
25,3.6136363,40.005,0.215,4000.5,1,19
26,3.626506,38.315,0.32,3831.5,1,18
27,3.6162791,36.825,0.335,3682.5,1,17
28,3.6179776,35.405,0.38,3540.5,1,16
29,3.6043956,33.785,0.355,3378.5,1,15
30,3.586207,32.26,0.37,3226.0,1,14
31,3.5681818,30.84,0.4,3084.0,1,13
32,3.5764706,29.54,0.44,2954.0,1,12
33,3.5903614,28.505,0.495,2850.5,1,11
34,3.5595238,27.51,0.5,2751.0,1,10
35,3.609756,26.52,0.515,2652.0,1,9
36,3.586207,25.275,0.45,2527.5,1,8
37,3.5795455,24.005,0.485,2400.5,1,7
38,3.5595238,22.93,0.52,2293.0,1,6
39,3.5617979,21.805,0.515,2180.5,1,5
40,3.6206896,20.75,0.505,2075.0,1,4
41,3.5952382,19.755,0.545,1975.5,1,3
42,3.5882354,18.795,0.55,1879.5,1,2
43,3.5952382,17.835,0.585,1783.5,1,1
44,3.607143,17.12,0.635,1712.0,1,0
