t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6190476,100.0,0.0,10000.0,1,42
1,3.5853658,97.5,0.0,9750.0,1,41
2,3.6190476,95.0,0.0,9500.0,1,40
3,3.6470587,92.5,0.0,9250.0,1,39
4,3.5903614,90.0,0.0,9000.0,1,38
5,3.590909,87.5,0.0,8750.0,1,37
6,3.597701,85.0,0.0,8500.0,1,36
7,3.607143,82.5,0.0,8250.0,1,35
8,3.5853658,80.0,0.0,8000.0,1,34
9,3.6,77.5,0.0,7750.0,1,33
10,3.6463416,75.105,0.035,7510.5,1,32
11,3.6309524,72.71,0.03,7271.0,1,31
12,3.5952382,70.33,0.05,7033.0,1,30
13,3.6024096,68.0,0.05,6800.0,1,29
14,3.6091955,65.73,0.065,6573.0,1,28
15,3.6352942,63.49,0.08,6349.0,1,27
16,3.6363637,61.24,0.095,6124.0,1,26
17,3.6195652,58.98,0.095,5898.0,1,25
18,3.588889,56.77,0.1,5677.0,1,24
19,3.5869565,54.6,0.105,5460.0,1,23
20,3.6117647,52.655,0.19,5265.5,1,22
21,3.607143,50.78,0.195,5078.0,1,21
22,3.621951,49.0,0.25,4900.0,1,20
23,3.6,47.05,0.19,4705.0,1,19
24,3.607143,45.19,0.235,4519.0,1,18
25,3.6136363,43.62,0.305,4362.0,1,17
26,3.6547618,41.975,0.31,4197.5,1,16
27,3.6455696,40.365,0.29,4036.5,1,15
28,3.6190476,38.68,0.285,3868.0,1,14
29,3.627907,37.235,0.38,3723.5,1,13
30,3.639535,35.845,0.365,3584.5,1,12
31,3.5842698,34.31,0.39,3431.0,1,11
32,3.5632184,32.985,0.405,3298.5,1,10
33,3.586207,31.69,0.42,3169.0,1,9
34,3.6363637,30.535,0.46,3053.5,1,8
35,3.625,29.32,0.435,2932.0,1,7
36,3.6022727,28.105,0.44,2810.5,1,6
37,3.6373627,26.835,0.45,2683.5,1,5
38,3.6206896,25.63,0.45,2563.0,1,4
39,3.6292136,24.57,0.515,2457.0,1,3
40,3.6292136,23.48,0.51,2348.0,1,2
41,3.6309524,22.66,0.595,2266.0,1,1
42,3.5955057,21.935,0.615,2193.5,1,0
