t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.284,2.0,1,14
1,0.006,0.0,0.994,25.284,2.0,1,13
2,0.012,0.0,0.988,25.284,1.0,1,12
3,0.018,0.0,0.982,25.284,1.0,1,11
4,0.03,0.002,0.968,25.284,2.0,1,10
5,0.046,0.002,0.952,25.284,1.0,1,9
6,0.056,0.004,0.94,25.284,1.0,1,8
7,0.092,0.004,0.904,25.284,1.0,1,7
8,0.136,0.004,0.86,25.284,1.0,1,6
9,0.206,0.008,0.786,25.284,1.0,1,5
10,0.278,0.012,0.71,25.284,1.0,1,4
11,0.364,0.012,0.624,25.284,1.0,1,3
12,0.448,0.016,0.536,25.284,1.0,1,2
13,0.542,0.02,0.438,25.284,1.0,1,1
14,0.64,0.026,0.334,25.284,1.0,1,0
