t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6470587,100.0,0.0,10000.0,1,42
1,3.5952382,97.5,0.0,9750.0,1,41
2,3.6206896,95.0,0.0,9500.0,1,40
3,3.625,92.5,0.0,9250.0,1,39
4,3.6404495,90.0,0.0,9000.0,1,38
5,3.6352942,87.5,0.0,8750.0,1,37
6,3.6046512,85.0,0.0,8500.0,1,36
7,3.6022727,82.5,0.0,8250.0,1,35
8,3.6162791,80.0,0.0,8000.0,1,34
9,3.6818182,77.5,0.0,7750.0,1,33
10,3.6511629,75.0,0.0,7500.0,1,32
11,3.6627908,72.55,0.03,7255.0,1,31
12,3.6470587,70.115,0.02,7011.5,1,30
13,3.642857,67.7,0.045,6770.0,1,29
14,3.621951,65.37,0.05,6537.0,1,28
15,3.6179776,63.0,0.04,6300.0,1,27
16,3.6091955,60.74,0.08,6074.0,1,26
17,3.627907,58.56,0.095,5856.0,1,25
18,3.6206896,56.38,0.095,5638.0,1,24
19,3.5952382,54.18,0.09,5418.0,1,23
20,3.6222222,51.95,0.095,5195.0,1,22
21,3.6162791,49.7,0.09,4970.0,1,21
22,3.6744187,47.4,0.095,4740.0,1,20
23,3.6470587,45.3,0.17,4530.0,1,19
24,3.6785715,43.415,0.21,4341.5,1,18
25,3.6666667,41.62,0.26,4162.0,1,17
26,3.609756,39.965,0.275,3996.5,1,16
27,3.6551723,38.34,0.305,3834.0,1,15
28,3.6321838,36.89,0.35,3689.0,1,14
29,3.6111112,35.36,0.365,3536.0,1,13
30,3.6153846,33.77,0.36,3377.0,1,12
31,3.6304348,32.165,0.325,3216.5,1,11
32,3.6588235,30.75,0.375,3075.0,1,10
33,3.6206896,29.535,0.46,2953.5,1,9
34,3.6067417,28.285,0.47,2828.5,1,8
35,3.6477273,27.12,0.505,2712.0,1,7
36,3.6585367,26.195,0.555,2619.5,1,6
37,3.627907,25.235,0.54,2523.5,1,5
38,3.6292136,24.195,0.54,2419.5,1,4
39,3.627907,23.23,0.57,2323.0,1,3
40,3.6341465,22.335,0.575,2233.5,1,2
41,3.6506023,21.395,0.575,2139.5,1,1
42,3.625,20.685,0.64,2068.5,1,0
