t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.0,2.0,1,17
1,0.006,0.0,0.994,25.0,2.0,1,16
2,0.006,0.0,0.994,25.0,2.0,1,15
3,0.01,0.0,0.99,25.0,2.0,1,14
4,0.016,0.0,0.984,25.0,2.0,1,13
5,0.022,0.0,0.978,25.0,1.0,1,12
6,0.032,0.0,0.968,25.0,1.0,1,11
7,0.044,0.0,0.956,25.0,1.0,1,10
8,0.06,0.0,0.94,25.0,1.0,1,9
9,0.088,0.0,0.912,25.0,1.0,1,8
10,0.11,0.002,0.888,25.0,1.0,1,7
11,0.156,0.006,0.838,25.0,1.0,1,6
12,0.196,0.01,0.794,25.0,1.0,1,5
13,0.25,0.01,0.74,25.0,1.0,1,4
14,0.316,0.016,0.668,25.0,1.0,1,3
15,0.42,0.02,0.56,25.0,1.0,1,2
16,0.524,0.024,0.452,25.0,1.0,1,1
17,0.618,0.026,0.356,25.0,1.0,1,0
