t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.590909,100.0,0.0,10000.0,1,42
1,3.5581396,97.5,0.0,9750.0,1,41
2,3.597701,95.0,0.0,9500.0,1,40
3,3.597826,92.5,0.0,9250.0,1,39
4,3.6153846,90.0,0.0,9000.0,1,38
5,3.580645,87.5,0.0,8750.0,1,37
6,3.6206896,85.0,0.0,8500.0,1,36
7,3.627907,82.5,0.0,8250.0,1,35
8,3.6588235,80.0,0.0,8000.0,1,34
9,3.6144578,77.5,0.0,7750.0,1,33
10,3.626506,75.0,0.0,7500.0,1,32
11,3.6463416,72.5,0.0,7250.0,1,31
12,3.6585367,70.0,0.0,7000.0,1,30
13,3.6470587,67.5,0.0,6750.0,1,29
14,3.6363637,65.0,0.0,6500.0,1,28
15,3.6511629,62.51,0.03,6251.0,1,27
16,3.6352942,60.075,0.02,6007.5,1,26
17,3.6341465,57.68,0.075,5768.0,1,25
18,3.6666667,55.39,0.085,5539.0,1,24
19,3.6292136,53.1,0.075,5310.0,1,23
20,3.6179776,50.915,0.11,5091.5,1,22
21,3.6117647,48.77,0.13,4877.0,1,21
22,3.6292136,46.595,0.12,4659.5,1,20
23,3.5697675,44.57,0.16,4457.0,1,19
24,3.5764706,42.5,0.145,4250.0,1,18
25,3.6091955,40.45,0.225,4045.0,1,17
26,3.6091955,38.745,0.28,3874.5,1,16
27,3.6235294,37.05,0.28,3705.0,1,15
28,3.5869565,35.27,0.26,3527.0,1,14
29,3.5730338,33.5,0.295,3350.0,1,13
30,3.5681818,31.95,0.345,3195.0,1,12
31,3.5813954,30.375,0.345,3037.5,1,11
32,3.580247,28.865,0.345,2886.5,1,10
33,3.5952382,27.445,0.465,2744.5,1,9
34,3.6046512,26.105,0.42,2610.5,1,8
35,3.607143,24.95,0.48,2495.0,1,7
36,3.6046512,23.8,0.485,2380.0,1,6
37,3.6206896,22.77,0.57,2277.0,1,5
38,3.6,21.725,0.515,2172.5,1,4
39,3.5795455,20.615,0.545,2061.5,1,3
40,3.5730338,19.635,0.545,1963.5,1,2
41,3.5632184,18.665,0.595,1866.5,1,1
42,3.5952382,17.825,0.63,1782.5,1,0
