t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.728,2.0,1,16
1,0.006,0.0,0.994,24.728,2.0,1,15
2,0.006,0.0,0.994,24.728,2.0,1,14
3,0.012,0.0,0.988,24.728,2.0,1,13
4,0.016,0.0,0.984,24.728,2.0,1,12
5,0.03,0.0,0.97,24.728,1.0,1,11
6,0.048,0.0,0.952,24.728,1.0,1,10
7,0.06,0.004,0.936,24.728,1.0,1,9
8,0.078,0.004,0.918,24.728,1.0,1,8
9,0.12,0.004,0.876,24.728,1.0,1,7
10,0.174,0.004,0.822,24.728,1.0,1,6
11,0.228,0.004,0.768,24.728,1.0,1,5
12,0.31,0.01,0.68,24.728,1.0,1,4
13,0.408,0.014,0.578,24.728,1.0,1,3
14,0.494,0.016,0.49,24.728,1.0,1,2
15,0.584,0.024,0.392,24.728,1.0,1,1
16,0.674,0.03,0.296,24.728,1.0,1,0
