t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5777779,100.0,0.0,10000.0,1,39
1,3.5882354,97.5,0.0,9750.0,1,38
2,3.6091955,95.0,0.0,9500.0,1,37
3,3.6333334,92.5,0.0,9250.0,1,36
4,3.6555555,90.0,0.0,9000.0,1,35
5,3.6477273,87.5,0.0,8750.0,1,34
6,3.6222222,85.0,0.0,8500.0,1,33
7,3.590909,82.5,0.0,8250.0,1,32
8,3.6136363,80.0,0.0,8000.0,1,31
9,3.590909,77.5,0.0,7750.0,1,30
10,3.597701,75.0,0.0,7500.0,1,29
11,3.6144578,72.5,0.0,7250.0,1,28
12,3.5925925,70.0,0.0,7000.0,1,27
13,3.6404495,67.5,0.0,6750.0,1,26
14,3.6555555,65.0,0.0,6500.0,1,25
15,3.6333334,62.51,0.015,6251.0,1,24
16,3.6385543,60.07,0.035,6007.0,1,23
17,3.6086957,57.66,0.03,5766.0,1,22
18,3.6179776,55.275,0.055,5527.5,1,21
19,3.6790123,53.04,0.09,5304.0,1,20
20,3.659091,50.755,0.08,5075.5,1,19
21,3.6511629,48.6,0.12,4860.0,1,18
22,3.6162791,46.36,0.105,4636.0,1,17
23,3.5824175,44.18,0.14,4418.0,1,16
24,3.6304348,42.005,0.13,4200.5,1,15
25,3.6263735,39.86,0.18,3986.0,1,14
26,3.6304348,37.825,0.19,3782.5,1,13
27,3.6153846,35.78,0.19,3578.0,1,12
28,3.6136363,33.795,0.205,3379.5,1,11
29,3.6179776,31.855,0.25,3185.5,1,10
30,3.6506023,30.045,0.31,3004.5,1,9
31,3.6352942,28.415,0.315,2841.5,1,8
32,3.6292136,26.965,0.385,2696.5,1,7
33,3.6190476,25.485,0.4,2548.5,1,6
34,3.6627908,24.17,0.42,2417.0,1,5
35,3.6585367,22.93,0.465,2293.0,1,4
36,3.675,21.94,0.53,2194.0,1,3
37,3.642857,20.975,0.585,2097.5,1,2
38,3.6206896,20.115,0.58,2011.5,1,1
39,3.6585367,19.445,0.635,1944.5,1,0
