t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.952,2.0,1,16
1,0.008,0.0,0.992,24.952,2.0,1,15
2,0.012,0.0,0.988,24.952,2.0,1,14
3,0.012,0.0,0.988,24.952,2.0,1,13
4,0.018,0.0,0.982,24.952,2.0,1,12
5,0.02,0.0,0.98,24.952,2.0,1,11
6,0.03,0.0,0.97,24.952,1.0,1,10
7,0.05,0.0,0.95,24.952,1.0,1,9
8,0.062,0.002,0.936,24.952,1.0,1,8
9,0.094,0.004,0.902,24.952,1.0,1,7
10,0.14,0.004,0.856,24.952,1.0,1,6
11,0.196,0.004,0.8,24.952,1.0,1,5
12,0.27,0.004,0.726,24.952,1.0,1,4
13,0.358,0.006,0.636,24.952,1.0,1,3
14,0.44,0.008,0.552,24.952,1.0,1,2
15,0.536,0.014,0.45,24.952,1.0,1,1
16,0.644,0.018,0.338,24.952,1.0,1,0
