t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.6,100.0,0.0,10000.0,1,42
1,3.607143,97.5,0.0,9750.0,1,41
2,3.626506,95.0,0.0,9500.0,1,40
3,3.607143,92.5,0.0,9250.0,1,39
4,3.607143,90.0,0.0,9000.0,1,38
5,3.5714285,87.5,0.0,8750.0,1,37
6,3.5747128,85.0,0.0,8500.0,1,36
7,3.5730338,82.5,0.0,8250.0,1,35
8,3.6136363,80.0,0.0,8000.0,1,34
9,3.6170213,77.5,0.0,7750.0,1,33
10,3.6352942,75.0,0.0,7500.0,1,32
11,3.6,72.5,0.0,7250.0,1,31
12,3.6404495,70.0,0.0,7000.0,1,30
13,3.6551723,67.5,0.01,6750.0,1,29
14,3.6022727,65.005,0.005,6500.5,1,28
15,3.6206896,62.6,0.04,6260.0,1,27
16,3.6206896,60.245,0.05,6024.5,1,26
17,3.597701,57.88,0.075,5788.0,1,25
18,3.6321838,55.625,0.08,5562.5,1,24
19,3.6144578,53.31,0.065,5331.0,1,23
20,3.6744187,51.01,0.09,5101.0,1,22
21,3.6626506,48.795,0.15,4879.5,1,21
22,3.6666667,46.685,0.19,4668.5,1,20
23,3.6136363,44.675,0.19,4467.5,1,19
24,3.586207,42.86,0.255,4286.0,1,18
25,3.5955057,41.0,0.22,4100.0,1,17
26,3.6385543,39.005,0.225,3900.5,1,16
27,3.6117647,37.245,0.27,3724.5,1,15
28,3.6162791,35.53,0.28,3553.0,1,14
29,3.6,33.89,0.32,3389.0,1,13
30,3.5930233,32.315,0.345,3231.5,1,12
31,3.6067417,30.8,0.34,3080.0,1,11
32,3.597701,29.325,0.37,2932.5,1,10
33,3.6067417,27.935,0.395,2793.5,1,9
34,3.6043956,26.53,0.41,2653.0,1,8
35,3.597701,25.275,0.44,2527.5,1,7
36,3.6043956,23.89,0.42,2389.0,1,6
37,3.6046512,22.75,0.53,2275.0,1,5
38,3.6292136,21.655,0.515,2165.5,1,4
39,3.6153846,20.65,0.555,2065.0,1,3
40,3.5842698,19.605,0.54,1960.5,1,2
41,3.6436782,18.56,0.545,1856.0,1,1
42,3.6086957,17.73,0.62,1773.0,1,0
