t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.597826,100.0,0.0,10000.0,1,41
1,3.597701,97.5,0.0,9750.0,1,40
2,3.5697675,95.0,0.0,9500.0,1,39
3,3.5632184,92.5,0.0,9250.0,1,38
4,3.6111112,90.0,0.0,9000.0,1,37
5,3.6153846,87.5,0.0,8750.0,1,36
6,3.5869565,85.0,0.0,8500.0,1,35
7,3.5698924,82.5,0.0,8250.0,1,34
8,3.5777779,80.0,0.0,8000.0,1,33
9,3.5617979,77.5,0.0,7750.0,1,32
10,3.5955057,75.0,0.0,7500.0,1,31
11,3.6,72.5,0.0,7250.0,1,30
12,3.590909,70.0,0.0,7000.0,1,29
13,3.5853658,67.5,0.0,6750.0,1,28
14,3.597826,65.0,0.0,6500.0,1,27
15,3.6082475,62.5,0.0,6250.0,1,26
16,3.627907,60.035,0.015,6003.5,1,25
17,3.6235294,57.56,0.03,5756.0,1,24
18,3.6117647,55.255,0.07,5525.5,1,23
19,3.6179776,52.9,0.095,5290.0,1,22
20,3.6,50.71,0.1,5071.0,1,21
21,3.586207,48.52,0.12,4852.0,1,20
22,3.5930233,46.445,0.18,4644.5,1,19
23,3.6117647,44.5,0.2,4450.0,1,18
24,3.621951,42.64,0.245,4264.0,1,17
25,3.6022727,40.8,0.23,4080.0,1,16
26,3.6067417,39.07,0.265,3907.0,1,15
27,3.6136363,37.33,0.27,3733.0,1,14
28,3.6136363,35.57,0.275,3557.0,1,13
29,3.6136363,34.01,0.325,3401.0,1,12
30,3.5925925,32.45,0.34,3245.0,1,11
31,3.6352942,31.095,0.4,3109.5,1,10
32,3.6190476,29.73,0.385,2973.0,1,9
33,3.6022727,28.335,0.39,2833.5,1,8
34,3.6162791,26.815,0.375,2681.5,1,7
35,3.5930233,25.48,0.44,2548.0,1,6
36,3.6,24.105,0.415,2410.5,1,5
37,3.6321838,22.93,0.555,2293.0,1,4
38,3.626506,21.885,0.495,2188.5,1,3
39,3.6547618,20.77,0.515,2077.0,1,2
40,3.654321,19.69,0.535,1969.0,1,1
41,3.6744187,18.81,0.62,1881.0,1,0
