t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.728,2.0,1,18
1,0.004,0.0,0.996,24.728,2.0,1,17
2,0.004,0.0,0.996,24.728,2.0,1,16
3,0.008,0.0,0.992,24.728,1.0,1,15
4,0.01,0.0,0.99,24.728,1.0,1,14
5,0.012,0.0,0.988,24.728,1.0,1,13
6,0.02,0.0,0.98,24.728,1.0,1,12
7,0.028,0.0,0.972,24.728,1.0,1,11
8,0.034,0.0,0.966,24.728,1.0,1,10
9,0.054,0.0,0.946,24.728,1.0,1,9
10,0.078,0.0,0.922,24.728,1.0,1,8
11,0.112,0.0,0.888,24.728,1.0,1,7
12,0.146,0.0,0.854,24.728,1.0,1,6
13,0.204,0.0,0.796,24.728,1.0,1,5
14,0.264,0.002,0.734,24.728,1.0,1,4
15,0.346,0.002,0.652,24.728,1.0,1,3
16,0.442,0.004,0.554,24.728,1.0,1,2
17,0.532,0.01,0.458,24.728,1.0,1,1
18,0.634,0.012,0.354,24.728,1.0,1,0
