t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.072,2.0,1,16
1,0.006,0.0,0.994,25.072,2.0,1,15
2,0.008,0.0,0.992,25.072,2.0,1,14
3,0.01,0.0,0.99,25.072,2.0,1,13
4,0.018,0.0,0.982,25.072,1.0,1,12
5,0.024,0.0,0.976,25.072,1.0,1,11
6,0.032,0.0,0.968,25.072,1.0,1,10
7,0.048,0.0,0.952,25.072,1.0,1,9
8,0.072,0.0,0.928,25.072,1.0,1,8
9,0.094,0.0,0.906,25.072,1.0,1,7
10,0.138,0.0,0.862,25.072,1.0,1,6
11,0.19,0.0,0.81,25.072,1.0,1,5
12,0.246,0.002,0.752,25.072,1.0,1,4
13,0.332,0.006,0.662,25.072,1.0,1,3
14,0.422,0.008,0.57,25.072,1.0,1,2
15,0.522,0.012,0.466,25.072,1.0,1,1
16,0.604,0.016,0.38,25.072,1.0,1,0
