t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,24.808,2.0,1,17
1,0.004,0.0,0.996,24.808,2.0,1,16
2,0.008,0.0,0.992,24.808,2.0,1,15
3,0.012,0.0,0.988,24.808,1.0,1,14
4,0.016,0.0,0.984,24.808,1.0,1,13
5,0.02,0.0,0.98,24.808,1.0,1,12
6,0.03,0.0,0.97,24.808,1.0,1,11
7,0.04,0.0,0.96,24.808,1.0,1,10
8,0.07,0.0,0.93,24.808,1.0,1,9
9,0.094,0.0,0.906,24.808,1.0,1,8
10,0.138,0.004,0.858,24.808,1.0,1,7
11,0.176,0.006,0.818,24.808,1.0,1,6
12,0.228,0.006,0.766,24.808,1.0,1,5
13,0.316,0.01,0.674,24.808,1.0,1,4
14,0.394,0.016,0.59,24.808,1.0,1,3
15,0.496,0.022,0.482,24.808,1.0,1,2
16,0.588,0.022,0.39,24.808,1.0,1,1
17,0.65,0.028,0.322,24.808,1.0,1,0
