t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event
0,0.004,0.0,0.996,25.548,2.0,1,15
1,0.004,0.0,0.996,25.548,2.0,1,14
2,0.006,0.0,0.994,25.548,2.0,1,13
3,0.008,0.0,0.992,25.548,2.0,1,12
4,0.014,0.0,0.986,25.548,1.0,1,11
5,0.02,0.0,0.98,25.548,1.0,1,10
6,0.03,0.0,0.97,25.548,1.0,1,9
7,0.04,0.0,0.96,25.548,1.0,1,8
8,0.068,0.0,0.932,25.548,1.0,1,7
9,0.098,0.0,0.902,25.548,1.0,1,6
10,0.158,0.002,0.84,25.548,1.0,1,5
11,0.202,0.006,0.792,25.548,1.0,1,4
12,0.296,0.012,0.692,25.548,1.0,1,3
13,0.398,0.016,0.586,25.548,1.0,1,2
14,0.508,0.02,0.472,25.548,1.0,1,1
15,0.614,0.026,0.36,25.548,1.0,1,0
